Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
1|2(x - 2) ÷ 3 = 10|5|15|17|32|C|Clearing Fractions: multiply both sides by 3 to get 2(x - 2) = 30. Expanding Brackets: distribute to get 2x - 4 = 30, add 4 to get 2x = 34, then divide by 2 -> x = 17.|
2|x ÷ 7 + 4 = 5|8|63|7|31|C|Clearing Fractions: subtract 4 from both sides to get x ÷ 7 = 1, then multiply both sides by 7 -> x = 7.|
3|5(x - 3) - 1 = 19|4|7|34|23|B|Expanding Brackets: distribute to get 5x - 15 - 1 = 19, add 16 to get 5x = 35, then divide by 5 -> x = 7.|
4|2(x + 6) + 5 = 35|24|23|15|9|D|Expanding Brackets: distribute to get 2x + 12 + 5 = 35, subtract 17 to get 2x = 18, then divide by 2 -> x = 9.|
5|5(x - 1) ÷ 3 = 15|9|3|10|46|C|Clearing Fractions: multiply both sides by 3 to get 5(x - 1) = 45. Expanding Brackets: distribute to get 5x - 5 = 45, add 5 to get 5x = 50, then divide by 5 -> x = 10.|
6|x ÷ 2 - 2 = 5|6|8|14|9|C|Clearing Fractions: add 2 to both sides to get x ÷ 2 = 7, then multiply both sides by 2 -> x = 14.|
7|2(x + 5) + 3 = 15|7|5|6|1|D|Expanding Brackets: distribute to get 2x + 10 + 3 = 15, subtract 13 to get 2x = 2, then divide by 2 -> x = 1.|
8|(x - 2) ÷ 3 = 4|12|10|6|14|D|Clearing Fractions: multiply both sides by 3 to get x - 2 = 12, then add 2 -> x = 14.|
9|3(x - 2) - 2 = 4|2|8|4|10|C|Expanding Brackets: distribute to get 3x - 6 - 2 = 4, add 8 to get 3x = 12, then divide by 3 -> x = 4.|
10|x ÷ 6 + 5 = 6|31|6|66|7|B|Clearing Fractions: subtract 5 from both sides to get x ÷ 6 = 1, then multiply both sides by 6 -> x = 6.|
11|(x + 5) ÷ 3 = 4|7|2|-1|12|A|Clearing Fractions: multiply both sides by 3 to get x + 5 = 12, then subtract 5 -> x = 7.|
12|3(x + 4) + 5 = 23|14|6|11|2|D|Expanding Brackets: distribute to get 3x + 12 + 5 = 23, subtract 17 to get 3x = 6, then divide by 3 -> x = 2.|
13|5(x + 1) + 3 = 28|23|4|24|5|B|Expanding Brackets: distribute to get 5x + 5 + 3 = 28, subtract 8 to get 5x = 20, then divide by 5 -> x = 4.|
14|6(x + 4) = 36|6|32|2|12|C|Expanding Brackets: distribute to get 6x + 24 = 36, subtract 24 to get 6x = 12, then divide by 6 -> x = 2.|
15|4(x - 4) - 5 = 11|4|20|27|8|D|Expanding Brackets: distribute to get 4x - 16 - 5 = 11, add 21 to get 4x = 32, then divide by 4 -> x = 8.|
16|3(x - 7) ÷ 2 = 6|2|11|4|19|B|Clearing Fractions: multiply both sides by 2 to get 3(x - 7) = 12. Expanding Brackets: distribute to get 3x - 21 = 12, add 21 to get 3x = 33, then divide by 3 -> x = 11.|
17|(x + 6) ÷ 3 = 4|6|1|-2|12|A|Clearing Fractions: multiply both sides by 3 to get x + 6 = 12, then subtract 6 -> x = 6.|
18|x ÷ 6 + 4 = 10|12|84|36|56|C|Clearing Fractions: subtract 4 from both sides to get x ÷ 6 = 6, then multiply both sides by 6 -> x = 36.|
19|4(x + 5) + 2 = 34|8|27|3|14|C|Expanding Brackets: distribute to get 4x + 20 + 2 = 34, subtract 22 to get 4x = 12, then divide by 4 -> x = 3.|
20|2(x + 4) + 6 = 20|10|3|12|7|B|Expanding Brackets: distribute to get 2x + 8 + 6 = 20, subtract 14 to get 2x = 6, then divide by 2 -> x = 3.|
21|2(x + 2) + 4 = 24|8|20|10|18|A|Expanding Brackets: distribute to get 2x + 4 + 4 = 24, subtract 8 to get 2x = 16, then divide by 2 -> x = 8.|
22|5(x - 4) ÷ 3 = 10|10|6|2|34|A|Clearing Fractions: multiply both sides by 3 to get 5(x - 4) = 30. Expanding Brackets: distribute to get 5x - 20 = 30, add 20 to get 5x = 50, then divide by 5 -> x = 10.|
23|5(x + 2) ÷ 4 = 20|4|14|78|16|B|Clearing Fractions: multiply both sides by 4 to get 5(x + 2) = 80. Expanding Brackets: distribute to get 5x + 10 = 80, subtract 10 to get 5x = 70, then divide by 5 -> x = 14.|
24|(x + 8) ÷ 4 = 7|3|28|20|-1|C|Clearing Fractions: multiply both sides by 4 to get x + 8 = 28, then subtract 8 -> x = 20.|
25|x ÷ 5 + 1 = 9|40|50|13|44|A|Clearing Fractions: subtract 1 from both sides to get x ÷ 5 = 8, then multiply both sides by 5 -> x = 40.|
26|3(x - 6) = 33|39|11|51|17|D|Expanding Brackets: distribute to get 3x - 18 = 33, add 18 to get 3x = 51, then divide by 3 -> x = 17.|
27|x ÷ 6 + 5 = 13|73|14|48|108|C|Clearing Fractions: subtract 5 from both sides to get x ÷ 6 = 8, then multiply both sides by 6 -> x = 48.|
28|x ÷ 3 - 3 = 1|-6|7|0|12|D|Clearing Fractions: add 3 to both sides to get x ÷ 3 = 4, then multiply both sides by 3 -> x = 12.|
29|5(x + 5) + 5 = 75|14|9|65|50|B|Expanding Brackets: distribute to get 5x + 25 + 5 = 75, subtract 30 to get 5x = 45, then divide by 5 -> x = 9.|
30|4(x - 2) - 5 = 7|14|3|15|5|D|Expanding Brackets: distribute to get 4x - 8 - 5 = 7, add 13 to get 4x = 20, then divide by 4 -> x = 5.|
31|x ÷ 6 + 3 = 9|72|36|51|12|B|Clearing Fractions: subtract 3 from both sides to get x ÷ 6 = 6, then multiply both sides by 6 -> x = 36.|
32|x ÷ 5 - 5 = 6|25|5|16|55|D|Clearing Fractions: add 5 to both sides to get x ÷ 5 = 11, then multiply both sides by 5 -> x = 55.|
33|3(x + 3) + 7 = 34|6|9|25|24|A|Expanding Brackets: distribute to get 3x + 9 + 7 = 34, subtract 16 to get 3x = 18, then divide by 3 -> x = 6.|
