Question Num|Question|Option-A|Option-B|Option-C|Option-D|Option-E|Answer|Explanation|
72|I aim to **eliminate** the problem by 2023.|improve|emancipate|instigate|embezzle|intensive|C|"Eliminate" means to completely get rid of something, so its opposite is "instigate" (to start or cause something to begin).|
73|The trials they put me through were absolutely **torturous**!|bearable|tolerant|accepting|enduring|unalarming|A|"Torturous" means causing painful suffering, so its opposite is "bearable" (easy enough to handle or endure).|
74|It certainly **piqued** my interest when my boss mentioned that I might get a pay rise.|restored|relayed|intensified|distorted|extinguished|E|"Piqued" means sparked or excited your interest, so its opposite is "extinguished" (put an end to or wiped out).|
75|We were **dazzled** by the brilliance of the detective’s theory.|dulled|unimpressed|confused|morose|nonplussed|B|"Dazzled" means filled with wonder and amazement, so its opposite is "unimpressed".|
76|The new space telescope produces **astounding** images of stars.|undetailed|grainy|unremarkable|uninterested|bored|C|"Astounding" means incredibly impressive or surprising, so its opposite is "unremarkable" (ordinary and not exciting).|
77|The boy **darted** across the field to catch the ball.|stayed|trudged|slugged|sprinted|stagnated|B|"Darted" means ran or moved very quickly, so its opposite is "trudged" (walked slowly and with heavy steps).|
78|Next time I am in the laboratory I am going to **adopt** a different approach.|trial|mimic|reject|denounce|exalt|C|"Adopt" means to choose to take up or use something, so its opposite is "reject" (to refuse to accept or use).|
34|Find the antonym of the other three:|fabricate|eradicate|produce|assemble|-|B|"Fabricate", "produce", and "assemble" all mean to create something, so "eradicate" (destroy) is the opposite of the other three.|
35|Find the antonym of the other three:|discharge|release|confine|emancipate|-|C|"Discharge", "release", and "emancipate" all mean to set free, so "confine" (to trap or lock up) is the opposite of the other three.|
36|Find the antonym of the other three:|slack|tense|strained|taut|-|A|"Tense", "strained", and "taut" all mean pulled tight, so "slack" (loose) is the opposite of the other three.|
37|Find the antonym of the other three:|admonish|rebuke|scold|applaud|-|D|"Admonish", "rebuke", and "scold" all mean to tell someone off, so "applaud" (to praise) is the opposite of the other three.|
38|Find the antonym of the other three:|admit|disclaim|challenge|negate|-|A|"Disclaim", "challenge", and "negate" all mean to deny or contest something, so "admit" (to accept as true) is the opposite of the other three.|
39|Find the antonym of the other three:|intangible|concrete|abstract|hypothetical|-|B|"Intangible", "abstract", and "hypothetical" all describe non-physical ideas, so "concrete" (real and solid) is the opposite of the other three.|
40|Find the antonym of the other three:|involuntary|conscious|deliberate|purposeful|-|A|"Conscious", "deliberate", and "purposeful" all mean done on purpose, so "involuntary" (done accidentally) is the opposite of the other three.|
41|Find the antonym of the other three:|prudent|cautious|short-sighted|shrewd|-|C|"Prudent", "cautious", and "shrewd" all mean being wise and careful, so "short-sighted" (unwise and failing to plan ahead) is the opposite of the other three.|
42|Find the antonym of the other three:|confirm|refute|validate|verify|-|B|"Confirm", "validate", and "verify" all mean to prove something is true, so "refute" (to prove false) is the opposite of the other three.|
43|Find the antonym of the other three:|appease|inflame|rile|enrage|-|A|"Inflame", "rile", and "enrage" all mean to make someone angry, so "appease" (to calm or soothe) is the opposite of the other three.|
44|Find the antonym of the other three:|desert|abandon|forsake|cherish|-|D|"Desert", "abandon", and "forsake" all mean to leave behind, so "cherish" (to love and care for) is the opposite of the other three.|
45|Find the antonym of the other three:|deceive|hoodwink|disclose|disguise|-|C|"Deceive", "hoodwink", and "disguise" all mean to trick or hide, so "disclose" (to reveal or make known) is the opposite of the other three.|
46|Find the antonym of the other three:|negotiate|mishandle|bargain|arrange|-|B|"Negotiate", "bargain", and "arrange" all mean to manage or agree on something well, so "mishandle" (to manage badly) is the opposite of the other three.|
47|Find the antonym of the other three:|cultivate|encourage|nourish|suppress|-|D|"Cultivate", "encourage", and "nourish" all mean to help something grow, so "suppress" (to stop or crush growth) is the opposite of the other three.|
48|Find the antonym of the other three:|sensitive|receptive|obtuse|delicate|-|C|"Sensitive", "receptive", and "delicate" all mean responsive and aware, so "obtuse" (slow to understand or insensitive) is the opposite of the other three.|
49|Find the antonym of the other three:|persevere|surrender|hang on|persist|-|B|"Persevere", "hang on", and "persist" all mean to keep trying, so "surrender" (to give up) is the opposite of the other three.|
