Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
1|How long is it between 12:53am and 5:31am?|5 hours 38 minutes|3 hours 38 minutes|5 hours 8 minutes|4 hours 38 minutes|D|12:53am to 5:31am is 278 minutes in total, which is 4 hours 38 minutes (4×60 + 38 = 278).|
2|How long is it between 6:46am and 9:24am?|2 hours 38 minutes|3 hours 38 minutes|3 hours 8 minutes|1 hour 38 minutes|A|6:46am to 9:24am is 158 minutes in total, which is 2 hours 38 minutes (2×60 + 38 = 158).|
3|How many hours are between 02:45 and 14:00?|10.25 hours|12.25 hours|11.75 hours|11.25 hours|D|From 02:45 to 14:00 is 675 minutes. 675 ÷ 60 = 11.25 hours.|
4|How long is it between 8:10am and 10:24am?|2 hours 44 minutes|1 hour 14 minutes|2 hours 14 minutes|3 hours 14 minutes|C|8:10am to 10:24am is 134 minutes in total, which is 2 hours 14 minutes (2×60 + 14 = 134).|
5|How many minutes are between 01:49 and 08:07?|438 minutes|408 minutes|318 minutes|378 minutes|D|From 01:49 to 08:07 is 378 minutes. That's 6 hour(s) 18 minutes, or 6×60 + 18 = 378 minutes.|
6|How long is it between 9:25am and 12:44pm?|2 hours 19 minutes|3 hours 19 minutes|4 hours 19 minutes|3 hours 49 minutes|B|9:25am to 12:44pm is 199 minutes in total, which is 3 hours 19 minutes (3×60 + 19 = 199).|
7|How long is it between 9:25am and 11:30am?|1 hour 5 minutes|3 hours 5 minutes|2 hours 35 minutes|2 hours 5 minutes|D|9:25am to 11:30am is 125 minutes in total, which is 2 hours 5 minutes (2×60 + 5 = 125).|
8|How many hours are between 04:30 and 14:15?|9.75 hours|8.75 hours|10.75 hours|10.25 hours|A|From 04:30 to 14:15 is 585 minutes. 585 ÷ 60 = 9.75 hours.|
9|How many minutes are between 01:09 and 05:56?|227 minutes|317 minutes|347 minutes|287 minutes|D|From 01:09 to 05:56 is 287 minutes. That's 4 hour(s) 47 minutes, or 4×60 + 47 = 287 minutes.|
10|How many minutes are between 05:14 and 09:29?|315 minutes|255 minutes|195 minutes|285 minutes|B|From 05:14 to 09:29 is 255 minutes. That's 4 hour(s) 15 minutes, or 4×60 + 15 = 255 minutes.|
11|How long is it between 8:18am and 8:56am?|38 minutes|8 minutes|1 hour 38 minutes|1 hour 8 minutes|A|8:18am to 8:56am is 38 minutes in total, which is 38 minutes (under an hour, so it stays as 38 minutes).|
12|How many minutes are between 04:36 and 11:21?|465 minutes|435 minutes|345 minutes|405 minutes|D|From 04:36 to 11:21 is 405 minutes. That's 6 hour(s) 45 minutes, or 6×60 + 45 = 405 minutes.|
13|How many minutes are between 13:57 and 16:05?|128 minutes|68 minutes|188 minutes|158 minutes|A|From 13:57 to 16:05 is 128 minutes. That's 2 hour(s) 8 minutes, or 2×60 + 8 = 128 minutes.|
14|How many minutes are between 12:06 and 13:51?|45 minutes|105 minutes|165 minutes|135 minutes|B|From 12:06 to 13:51 is 105 minutes. That's 1 hour(s) 45 minutes, or 1×60 + 45 = 105 minutes.|
15|How many hours are between 00:15 and 08:00?|6.75 hours|8.25 hours|7.75 hours|8.75 hours|C|From 00:15 to 08:00 is 465 minutes. 465 ÷ 60 = 7.75 hours.|
16|How long is it between 4:03am and 8:41am?|5 hours 8 minutes|4 hours 38 minutes|3 hours 38 minutes|5 hours 38 minutes|B|4:03am to 8:41am is 278 minutes in total, which is 4 hours 38 minutes (4×60 + 38 = 278).|
17|How many minutes are between 14:06 and 15:13?|97 minutes|67 minutes|127 minutes|7 minutes|B|From 14:06 to 15:13 is 67 minutes. That's 1 hour(s) 7 minutes, or 1×60 + 7 = 67 minutes.|
