Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
1|A car travels 210km in 3 hours. What is its average speed (in km/h)?|210 × 3|210 ÷ 3|3 ÷ 210|210 + 3|B|Speed = distance ÷ time — divide the distance by the time taken: 210 ÷ 3.|
2|A cyclist covers 96km in 6 hours. What is her average speed (in km/h)?|96 × 6|6 ÷ 96|96 + 6|96 ÷ 6|D|Speed = distance ÷ time — divide the distance by the time taken: 96 ÷ 6.|
3|A train travels 480km in 8 hours. What is its average speed (in km/h)?|480 ÷ 8|480 × 8|8 ÷ 480|480 + 8|A|Speed = distance ÷ time — divide the distance by the time taken: 480 ÷ 8.|
4|A hiker treks 42km in 7 hours. What is his average speed (in km/h)?|42 × 7|7 ÷ 42|42 ÷ 7|42 + 7|C|Speed = distance ÷ time — divide the distance by the time taken: 42 ÷ 7.|
5|A ferry travels 150km in 5 hours. What is its average speed (in km/h)?|150 × 5|150 ÷ 5|5 ÷ 150|150 + 5|B|Speed = distance ÷ time — divide the distance by the time taken: 150 ÷ 5.|
6|A lorry travels 260km in 4 hours. What is its average speed (in km/h)?|260 × 4|4 ÷ 260|260 + 4|260 ÷ 4|D|Speed = distance ÷ time — divide the distance by the time taken: 260 ÷ 4.|
7|A tram travels 54km in 3 hours. What is its average speed (in km/h)?|54 ÷ 3|54 × 3|3 ÷ 54|54 + 3|A|Speed = distance ÷ time — divide the distance by the time taken: 54 ÷ 3.|
8|A speedboat covers 175km in 5 hours. What is its average speed (in km/h)?|175 × 5|5 ÷ 175|175 ÷ 5|175 + 5|C|Speed = distance ÷ time — divide the distance by the time taken: 175 ÷ 5.|
9|A tractor covers 24km in 4 hours. What is its average speed (in km/h)?|24 × 4|24 ÷ 4|4 ÷ 24|24 + 4|B|Speed = distance ÷ time — divide the distance by the time taken: 24 ÷ 4.|
10|An airliner covers 3,000km in 5 hours. What is its average speed (in km/h)?|3000 × 5|5 ÷ 3000|3000 + 5|3000 ÷ 5|D|Speed = distance ÷ time — divide the distance by the time taken: 3000 ÷ 5.|
11|A motorbike travels at 72km/h for 3 hours. How far does it travel?|72 ÷ 3|3 ÷ 72|72 × 3|72 + 3|C|Distance = speed × time — multiply the speed by the time travelled: 72 × 3.|
12|A van travels at 48km/h for 5 hours. How far does it travel?|48 × 5|48 ÷ 5|5 ÷ 48|48 + 5|A|Distance = speed × time — multiply the speed by the time travelled: 48 × 5.|
13|A ship sails at 22km/h for 6 hours. How far does it sail?|22 ÷ 6|6 ÷ 22|22 + 6|22 × 6|D|Distance = speed × time — multiply the speed by the time travelled: 22 × 6.|
14|A cyclist rides at 16km/h for 4 hours. How far does she ride?|16 ÷ 4|16 × 4|4 ÷ 16|16 + 4|B|Distance = speed × time — multiply the speed by the time travelled: 16 × 4.|
