Question Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|Feedback-A|Feedback-B|Feedback-C|Feedback-D|
33|The clumsy juggler's failed act drew nothing but **derision** from the crowd.|sympathy|applause|ridicule|admiration|C|"Derision" means scornful mockery, so it matches "ridicule".|A feeling of compassion for someone|Clapping to show approval|Mocking, making fun of someone|Respect and approval|
34|Tourists gasped at the sheer **grandeur** of the ancient palace.|magnificence|simplicity|decay|humility|A|"Grandeur" means impressive beauty or scale, like "magnificence".|Impressive beauty or greatness|The quality of being plain or uncomplicated|The process of rotting or gradual decline|The quality of being modest|
35|Years of manual labour had left the farmer's arms **sinewy** and strong.|brittle|delicate|plump|tough|D|"Sinewy" describes someone lean and strong, like being "tough".|Hard but easily broken|Fine and easily damaged|Slightly fat, rounded|Lean, strong and resilient|
1|The explorers spent weeks **traversing** the vast desert before reaching the oasis.|mapping|crossing|avoiding|describing|B|To "traverse" means to travel across something, like "crossing".|Creating a map or plan of an area|Travelling across something|Keeping away from something|Giving a detailed account of something|
2|The doctor's **grave** expression told us the news wasn't good.|cheerful|playful|serious|confused|C|"Grave" here means very serious, not happy or playful.|Happy and positive|Full of fun, lighthearted|Solemn and important|Feeling puzzled|
3|The lobbyist held considerable **sway** over the senator's decisions.|influence|fear|balance|wealth|A|To have "sway" over people means you have power or "influence" over them.|Power to affect people's decisions|An unpleasant feeling caused by danger|A state of steadiness|An abundance of money|
4|He accepted the award with noticeable **diffidence**, barely making eye contact.|pride|timidity|excitement|anger|B|"Diffidence" means feeling shy or unsure of yourself, like "timidity".|A feeling of deep satisfaction in oneself|Shyness or lack of confidence|A feeling of great enthusiasm|A strong feeling of displeasure|
5|The **belligerent** customer shouted at the staff over a minor mistake.|polite|nervous|antagonistic|cheerful|C|"Belligerent" means acting angry and ready to fight, like being "antagonistic".|Having good manners|Anxious or apprehensive|Hostile and ready to fight or oppose|Happy and positive|
6|The children greeted the snow with wild **exuberance**.|caution|sorrow|boredom|cheerfulness|D|"Exuberance" means being full of happy energy, like "cheerfulness".|Care taken to avoid danger|A feeling of deep sadness|A state of feeling weary from lack of interest|A state of being full of happy energy|
7|The rumours about the merger turned out to be entirely **baseless**.|confirmed|unfounded|popular|harmful|B|"Baseless" means there is no proof for it, like being "unfounded".|Shown to be true|Not based on facts or evidence|Liked by many people|Causing damage or injury|
8|After weeks without proper rest, his cheeks looked hollow and **drawn**.|flushed|cheerful|rounded|gaunt|D|A "drawn" face looks thin and tired, like being "gaunt".|Reddened, often from heat or embarrassment|Happy and positive|Having a curved shape, plump|Thin and haggard-looking, especially from illness|
9|According to legend, a hermit **dwelt** in the cave for forty years.|lived|fought|wandered|vanished|A|"Dwelt" is another word for "lived" somewhere.|Resided somewhere|Took part in a battle or conflict|Moved around without a fixed direction|Disappeared suddenly|
10|The shareholders **convened** in the boardroom to discuss the merger.|congregated|argued|departed|celebrated|A|"Convened" means people came together in a group, like they "congregated".|Gathered together in a group|Disagreed with someone|Left a place|Marked an occasion with enjoyment|
11|There was a **residual** smell of smoke in the room long after the fire was put out.|fresh|growing|unpleasant|remaining|D|"Residual" means what is left over, like "remaining".|New, not stale|Increasing in size or amount|Not enjoyable, disagreeable|Left over after the rest has gone|
12|She felt a surge of **indignation** at being blamed for someone else's mistake.|joy|confusion|resentment|gratitude|C|"Indignation" means feeling angry because something is unfair, like "resentment".|A feeling of great happiness|A state of being unclear or bewildered|Bitter anger at being treated unfairly|A feeling of thankfulness|
13|The condemned man was granted a **reprieve** just hours before his execution.|sentence|trial|warning|pardon|D|A "reprieve" means a punishment is cancelled or put off, like a "pardon".|The punishment given for a crime|A formal examination of evidence in court|A statement telling of possible danger|Official forgiveness that cancels a punishment|
14|**Amid** the cheering crowd, the athlete raised her medal high.|despite|surrounded by|ahead of|instead of|B|"Amid" means being in the middle of something, like "surrounded by".|Without being affected by|In the middle of, encircled by|In front of, or before|In place of|
15|The hotel charged an **exorbitant** fee for a single night's stay.|an excessive|a reasonable|a modest|a fixed|A|"Exorbitant" means something costs way too much, like "an excessive" amount.|Far more than is reasonable|Fair and sensible|Fairly small, not showy|Set and unchanging|
36|The inspector checked every safety measure **rigorously** before approving the site.|thoroughly|hastily|occasionally|loudly|A|"Rigorously" means doing something very carefully and properly, like "thoroughly".|Completely and carefully|With excessive speed, without care|Now and then, not regularly|With a lot of noise|
37|They found a **secluded** beach far from the crowds of tourists.|crowded|famous|hidden|dangerous|C|"Secluded" means a place that is quiet and hard to find, like being "hidden".|Full of people|Known widely|Difficult to find, out of sight|Likely to cause harm|
38|Marathon runners need incredible **stamina** to finish the race.|speed|endurance|flexibility|confidence|B|"Stamina" means being able to keep going for a long time, like "endurance".|The rate at which something moves|The ability to keep going for a long time|The ability to bend or adapt easily|A feeling of self-assurance|
39|Despite winning three gold medals, the athlete remained **humble** in interviews.|arrogant|nervous|dishonest|modest|D|Being "humble" means not boasting about yourself, like being "modest".|Having an exaggerated sense of importance|Anxious or apprehensive|Not truthful|Not boastful about one's achievements|
40|Lying to the investigators was considered **inexcusable** by the judge.|understandable|minor|common|unforgivable|D|"Inexcusable" means something is so bad it can't be forgiven, like "unforgivable".|Able to be understood or sympathised with|Small or unimportant|Happening often, not unusual|Too bad to be forgiven|
11|Dark clouds gathered in an **ominous** sky before the storm hit.|foreboding|colourful|calm|distant|A|"Ominous" means it feels like something bad is about to happen, like "foreboding".|Giving a feeling that something bad will happen|Full of bright colours|Free from disturbance|Far away|
12|Her **devotion** to the charity never wavered, even after years of hard work.|curiosity|hesitation|commitment|jealousy|C|"Devotion" means caring about something a lot and working hard for it, like "commitment".|A strong desire to know or learn something|A pause before doing something, due to uncertainty|Dedication to a cause or activity|Envy of someone else's advantages|
13|The new manager's **arrogant** tone made everyone in the meeting uncomfortable.|shy|generous|cheerful|condescending|D|Being "arrogant" means thinking you're better than everyone else, like being "condescending".|Nervous or timid in company|Willing to give freely|Happy and positive|Showing an attitude of superiority|
14|Booking a flight to Rome that same afternoon was a completely **spontaneous** choice.|calculated|impulsive|reluctant|delayed|B|"Spontaneous" means doing something suddenly without planning, like being "impulsive".|Carefully planned|Done suddenly without planning|Unwilling to do something|Made to happen later than planned|
15|Within a few months, the new employee had **integrated** smoothly into the team.|separated|promoted|transferred|assimilated|D|"Integrated" means fitting in well with a new group, like being "assimilated".|Kept apart or divided|Given a higher position or rank|Moved from one place to another|Absorbed and become part of a group|
16|Driving through the red light was an incredibly **reckless** thing to do.|cautious|skilled|patient|irresponsible|D|"Reckless" means not thinking about what could go wrong, like being "irresponsible".|Careful to avoid risk|Having ability or expertise|Able to wait calmly|Not thinking about the consequences of actions|
17|He gave a **sheepish** grin after realising he'd called his teacher "Mum".|proud|embarrassed|furious|confident|B|"Sheepish" means feeling shy or awkward after doing something wrong, like being "embarrassed".|Feeling deep satisfaction|Feeling awkward or ashamed|Extremely angry|Sure of oneself|
18|She felt **apprehensive** waiting for the results of her medical test.|thrilled|indifferent|uneasy|confident|C|"Apprehensive" means feeling worried that something bad might happen, like feeling "uneasy".|Feeling great excitement|Showing no interest or concern|Feeling worried or anxious|Sure of oneself|
19|The film relied on a **stereotypical** villain with a cape and a sinister laugh.|archetypal|original|sympathetic|forgettable|A|"Stereotypical" means fitting the usual idea of something, like being "archetypal".|Representing a typical, classic example|New and not a copy|Showing understanding and compassion|Not memorable or impressive|
20|The athlete was in her **prime** when she broke the world record.|decline|youth|infancy|peak|D|Reaching your "prime" means being at your very best, like reaching the "peak".|A gradual decrease or worsening|The early period of life, before full development|The earliest stage of life or development|The best or highest point|
35|The soft lighting and quiet music **complement** the restaurant's cosy atmosphere.|distract from|ignore|overpower|harmonise with|D|"Complement" means two things go well together, like they "harmonise with" each other.|To take attention away from something|To pay no attention to something|To overwhelm or dominate something|To go well together|
36|I **abhor** the sound of chalk scraping against a blackboard.|enjoy|ignore|expect|hate|D|"Abhor" is a strong word for "hate".|To take pleasure in something|To pay no attention to something|To believe something will happen|To dislike intensely|
