Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
1|366 ÷ 61 = ?|6|7|8|9|A|Round 366 to 350 and 61 to 60: 350 ÷ 60 = 6. Check: 61 × 6 = 366.|
2|144 ÷ 18 = ?|8|9|10|11|A|Round 144 to 150 and 18 to 20: 150 ÷ 20 = 8. Check: 18 × 8 = 144.|
3|399 ÷ 57 = ?|4|5|6|7|D|Round 399 to 400 and 57 to 60: 400 ÷ 60 = 7. Check: 57 × 7 = 399.|
4|594 ÷ 66 = ?|7|8|9|10|C|Round 594 to 600 and 66 to 70: 600 ÷ 70 = 9. Check: 66 × 9 = 594.|
5|192 ÷ 64 = ?|1|2|3|4|C|Round 192 to 200 and 64 to 60: 200 ÷ 60 = 3. Check: 64 × 3 = 192.|
6|126 ÷ 18 = ?|5|6|7|8|C|Test the options: 18 × 7 = 126, so 126 ÷ 18 = 7.|
7|77 ÷ 11 = ?|4|5|6|7|D|Test the options: 11 × 7 = 77, so 77 ÷ 11 = 7.|
8|272 ÷ 34 = ?|6|7|8|9|C|Round 272 to 250 and 34 to 30: 250 ÷ 30 = 8. Check: 34 × 8 = 272.|
9|468 ÷ 78 = ?|6|7|8|9|A|Round 468 to 450 and 78 to 80: 450 ÷ 80 = 6. Check: 78 × 6 = 468.|
10|180 ÷ 20 = ?|7|8|9|10|C|Test the options: 20 × 9 = 180, so 180 ÷ 20 = 9.|
11|405 ÷ 81 = ?|5|6|7|8|A|Round 405 to 400 and 81 to 80: 400 ÷ 80 = 5. Check: 81 × 5 = 405.|
12|110 ÷ 22 = ?|4|5|6|7|B|Round 110 to 100 and 22 to 20: 100 ÷ 20 = 5. Check: 22 × 5 = 110.|
13|222 ÷ 74 = ?|1|2|3|4|C|Round 222 to 200 and 74 to 70: 200 ÷ 70 = 3. Check: 74 × 3 = 222.|
14|182 ÷ 26 = ?|5|6|7|8|C|Round 182 to 200 and 26 to 30: 200 ÷ 30 = 7. Check: 26 × 7 = 182.|
15|492 ÷ 82 = ?|3|4|5|6|D|Round 492 to 500 and 82 to 80: 500 ÷ 80 = 6. Check: 82 × 6 = 492.|
16|568 ÷ 71 = ?|5|6|7|8|D|Round 568 to 550 and 71 to 70: 550 ÷ 70 = 8. Check: 71 × 8 = 568.|
17|222 ÷ 37 = ?|3|4|5|6|D|Test the options: 37 × 6 = 222, so 222 ÷ 37 = 6.|
18|160 ÷ 40 = ?|2|3|4|5|C|Round 160 to 150 and 40 to 40: 150 ÷ 40 = 4. Check: 40 × 4 = 160.|
19|208 ÷ 52 = ?|4|5|6|7|A|Round 208 to 200 and 52 to 50: 200 ÷ 50 = 4. Check: 52 × 4 = 208.|
20|186 ÷ 62 = ?|1|2|3|4|C|Round 186 to 200 and 62 to 60: 200 ÷ 60 = 3. Check: 62 × 3 = 186.|
21|168 ÷ 24 = ?|5|6|7|8|C|Test the options: 24 × 7 = 168, so 168 ÷ 24 = 7.|
22|84 ÷ 21 = ?|1|2|3|4|D|Round 84 to 80 and 21 to 20: 80 ÷ 20 = 4. Check: 21 × 4 = 84.|
23|415 ÷ 83 = ?|4|5|6|7|B|Round 415 to 400 and 83 to 80: 400 ÷ 80 = 5. Check: 83 × 5 = 415.|
24|114 ÷ 38 = ?|1|2|3|4|C|Test the options: 38 × 3 = 114, so 114 ÷ 38 = 3.|
25|184 ÷ 46 = ?|3|4|5|6|B|Round 184 to 200 and 46 to 50: 200 ÷ 50 = 4. Check: 46 × 4 = 184.|
26|161 ÷ 23 = ?|5|6|7|8|C|Test the options: 23 × 7 = 161, so 161 ÷ 23 = 7.|
27|588 ÷ 98 = ?|5|6|7|8|B|Round 588 to 600 and 98 to 100: 600 ÷ 100 = 6. Check: 98 × 6 = 588.|
28|132 ÷ 22 = ?|5|6|7|8|B|Test the options: 22 × 6 = 132, so 132 ÷ 22 = 6.|
