Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
1|1/2 = ?|0.5|0.2|1.2|0.12|A|Fraction→Decimal: 1 ÷ 2 = 0.5.|
2|3/4 = ?|0.34|0.75|0.43|3.4|B|Fraction→Decimal: 3 ÷ 4 = 0.75.|
3|1/5 = ?|0.15|1.5|0.2|0.5|C|Fraction→Decimal: 1 ÷ 5 = 0.2.|
4|4/5 = ?|0.4|0.45|4.5|0.8|D|Fraction→Decimal: 4 ÷ 5 = 0.8.|
5|7/10 = ?|0.07|0.7|7.1|0.17|B|Fraction→Decimal: 7 ÷ 10 = 0.7 (move the decimal point one place left).|
6|1/8 = ?|0.18|1.25|0.125|0.8|C|Fraction→Decimal: 1 ÷ 8 = 0.125.|
7|3/8 = ?|0.38|0.375|0.83|3.8|B|Fraction→Decimal: 3 ÷ 8 = 0.375 (3 × 0.125).|
8|1/4 = ?|0.4|1.4|0.14|0.25|D|Fraction→Decimal: 1 ÷ 4 = 0.25.|
9|3/20 = ?|0.32|1.5|0.2|0.15|D|Fraction→Decimal: 3/20 = 3/20 × 5/5 = 15/100 = 0.15.|
10|2/5 = ?%|40%|25%|52%|4%|A|Fraction→Percent: 2/5 = 0.4 = 40%.|
11|9/10 = ?%|9%|19%|90%|0.9%|C|Fraction→Percent: 9/10 = 0.9 = 90%.|
12|5/8 = ?%|58%|62.5%|85%|0.625%|B|Fraction→Percent: 5/8 = 0.625 = 62.5%.|
13|1/20 = ?%|20%|1.2%|5%|0.5%|C|Fraction→Percent: 1/20 = 1/20 × 5/5 = 5/100 = 5%.|
14|3/5 = ?%|35%|53%|30%|60%|D|Fraction→Percent: 3/5 = 0.6 = 60%.|
15|7/8 = ?%|87.5%|78%|7.8%|90%|A|Fraction→Percent: 7/8 = 0.875 = 87.5%.|
16|1/25 = ?%|25%|2.5%|4%|40%|C|Fraction→Percent: 1/25 = 1/25 × 4/4 = 4/100 = 4%.|
17|17/20 = ?%|17%|85%|57%|1.7%|B|Fraction→Percent: 17/20 = 17/20 × 5/5 = 85/100 = 85%.|
18|3/4 = ?%|34%|43%|75%|340%|C|Fraction→Percent: 3/4 = 0.75 = 75%.|
19|0.5 = ? (simplest fraction)|1/2|1/5|5/100|2/5|A|Decimal→Fraction: 0.5 = 5/10 = 1/2 in simplest form.|
20|0.25 = ? (simplest fraction)|1/4|1/25|2/5|25/1000|A|Decimal→Fraction: 0.25 = 25/100 = 1/4 in simplest form.|
21|0.75 = ? (simplest fraction)|3/4|7/5|75/1000|3/5|A|Decimal→Fraction: 0.75 = 75/100 = 3/4 in simplest form.|
22|0.2 = ? (simplest fraction)|1/2|1/5|1/20|2/5|B|Decimal→Fraction: 0.2 = 2/10 = 1/5 in simplest form.|
23|0.4 = ? (simplest fraction)|2/5|4/5|1/4|4/25|A|Decimal→Fraction: 0.4 = 4/10 = 2/5 in simplest form.|
24|0.125 = ? (simplest fraction)|1/8|1/4|1/80|5/8|A|Decimal→Fraction: 0.125 = 125/1000 = 1/8 in simplest form.|
25|0.6 = ? (simplest fraction)|3/5|6/5|2/3|3/10|A|Decimal→Fraction: 0.6 = 6/10 = 3/5 in simplest form.|
26|0.05 = ? (simplest fraction)|1/2|1/20|5/10|1/50|B|Decimal→Fraction: 0.05 = 5/100 = 1/20 in simplest form.|
27|0.35 = ?%|3.5%|35%|350%|53%|B|Decimal→Percent: move the decimal point two places right: 0.35 = 35%.|
28|0.05 = ?%|0.5%|50%|5%|500%|C|Decimal→Percent: 0.05 = 5%.|
29|1.0 = ?%|1%|10%|100%|0.1%|C|Decimal→Percent: 1.0 = 100%.|
30|0.6 = ?%|6%|60%|600%|0.6%|B|Decimal→Percent: 0.6 = 60%.|
31|0.125 = ?%|1.25%|125%|12.5%|0.125%|C|Decimal→Percent: 0.125 = 12.5%.|
32|0.02 = ?%|20%|0.2%|2%|200%|C|Decimal→Percent: 0.02 = 2%.|
33|0.45 = ?%|4.5%|45%|450%|54%|B|Decimal→Percent: 0.45 = 45%.|
34|0.8 = ?%|8%|800%|80%|0.8%|C|Decimal→Percent: 0.8 = 80%.|
35|50% = ? (simplest fraction)|1/2|1/5|1/50|5/1|A|Percent→Fraction: 50% = 50/100 = 1/2 in simplest form.|
36|25% = ? (simplest fraction)|1/4|1/25|4/1|2/5|A|Percent→Fraction: 25% = 25/100 = 1/4 in simplest form.|
37|20% = ? (simplest fraction)|1/5|2/5|1/20|5/1|A|Percent→Fraction: 20% = 20/100 = 1/5 in simplest form.|
38|75% = ? (simplest fraction)|3/4|7/5|3/5|1/4|A|Percent→Fraction: 75% = 75/100 = 3/4 in simplest form.|
39|10% = ? (simplest fraction)|1/100|1/10|10/1|1/1000|B|Percent→Fraction: 10% = 10/100 = 1/10 in simplest form.|
40|40% = ? (simplest fraction)|2/5|4/5|1/4|4/25|A|Percent→Fraction: 40% = 40/100 = 2/5 in simplest form.|
41|5% = ? (simplest fraction)|1/5|1/50|1/20|5/10|C|Percent→Fraction: 5% = 5/100 = 1/20 in simplest form.|
42|80% = ? (simplest fraction)|4/5|8/5|2/5|1/8|A|Percent→Fraction: 80% = 80/100 = 4/5 in simplest form.|
43|65% = ?|0.65|6.5|0.065|65.0|A|Percent→Decimal: move the decimal point two places left: 65% = 0.65.|
44|8% = ?|0.8|0.08|8.0|0.008|B|Percent→Decimal: 8% = 0.08.|
45|150% = ?|1.5|0.15|15|0.015|A|Percent→Decimal: 150% = 1.5.|
46|12.5% = ?|1.25|0.0125|0.125|12.5|C|Percent→Decimal: 12.5% = 0.125.|
47|90% = ?|0.9|9.0|0.09|90.0|A|Percent→Decimal: 90% = 0.9.|
48|36% = ?|3.6|0.036|0.36|36.0|C|Percent→Decimal: 36% = 0.36.|
49|4% = ?|0.4|0.04|4.0|0.004|B|Percent→Decimal: 4% = 0.04.|
50|100% = ?|0.1|10|1|0.01|C|Percent→Decimal: 100% = 1.|
51|1/2 × 8 = ?|8|2|4|16|C|Fraction×Integer: divide by the denominator, multiply by the numerator: 8 ÷ 2 = 4, then × 1 = 4.|
52|1/3 × 9 = ?|3|27|6|1|A|Fraction×Integer: 9 ÷ 3 = 3, then × 1 = 3.|
53|1/4 × 20 = ?|80|4|5|16|C|Fraction×Integer: 20 ÷ 4 = 5, then × 1 = 5.|
54|3/4 × 8 = ?|2|24|11|6|D|Fraction×Integer: 8 ÷ 4 = 2, then × 3 = 6.|
55|1/5 × 15 = ?|75|5|3|10|C|Fraction×Integer: 15 ÷ 5 = 3, then × 1 = 3.|
56|2/5 × 10 = ?|4|20|2|5|A|Fraction×Integer: 10 ÷ 5 = 2, then × 2 = 4.|
57|1/6 × 12 = ?|72|6|2|3|C|Fraction×Integer: 12 ÷ 6 = 2, then × 1 = 2.|
58|5/6 × 12 = ?|10|60|2|17|A|Fraction×Integer: 12 ÷ 6 = 2, then × 5 = 10.|
59|1/8 × 16 = ?|8|2|128|4|B|Fraction×Integer: 16 ÷ 8 = 2, then × 1 = 2.|
60|3/8 × 16 = ?|6|48|2|13|A|Fraction×Integer: 16 ÷ 8 = 2, then × 3 = 6.|
61|1/10 × 30 = ?|300|10|3|13|C|Fraction×Integer: 30 ÷ 10 = 3, then × 1 = 3.|
62|7/10 × 20 = ?|14|140|2|27|A|Fraction×Integer: 20 ÷ 10 = 2, then × 7 = 14.|
