Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
1|Ben drank 1/4 of a 250ml bottle of water. How much water is left?|250 × 1/4|250 × 3/4|250 ÷ 3/4|250 + (250 × 1/4)|B|He drank 1/4 of the bottle, so 3/4 of the water remains — multiply the total directly by the fraction left: 250 × 3/4.|
2|A tank holds 60 litres. 2/5 of the water leaked out. How much water is left in the tank?|60 × 3/5|60 × 2/5|60 − 3/5|60 ÷ 2/5|A|2/5 of the water leaked out, so 3/5 remains — multiply the total directly by the fraction left: 60 × 3/5.|
3|Sara had 84 marbles. She gave away 1/3 of them to her brother. How many marbles does she have left?|84 × 2/3|84 × 1/3|84 ÷ 2/3|84 + (84 × 1/3)|A|She gave away 1/3, so she kept 2/3 of her marbles — multiply the total directly by the fraction kept: 84 × 2/3.|
4|A cake weighs 900g. Priya eats 2/9 of it. How many grams of cake are left?|900 × 7/9|900 ÷ 7/9|900 − 2/9|900 × 2/9|A|She ate 2/9 of the cake, so 7/9 is left — multiply the total directly by the fraction left: 900 × 7/9.|
5|A school trip costs £96 per student. 3/8 of the cost is covered by a grant, and the family pays the rest. How much does the family pay?|96 × 3/8|96 + (96 × 3/8)|96 × 5/8|96 ÷ 5/8|C|3/8 is covered by the grant, so the family pays the remaining 5/8 — multiply the total directly by the fraction left: 96 × 5/8.|
6|Of the 45 questions on a test, Leo got 4/9 wrong. How many did he get right?|45 × 5/9|45 × 4/9|45 − 4/9|45 ÷ 5/9|A|He got 4/9 wrong, so he got the remaining 5/9 right — multiply the total directly by the fraction correct: 45 × 5/9.|
7|A 500g bag of flour is used to bake bread; 3/10 of the flour is used for the first loaf. How much flour is left for the second loaf?|500 × 3/10|500 × 7/10|500 ÷ 7/10|500 + (500 × 3/10)|B|3/10 of the flour is used first, so 7/10 is left for the second loaf — multiply the total directly by the fraction left: 500 × 7/10.|
8|Out of 72 sweets in a jar, 5/12 are lemon flavoured and the rest are orange. How many sweets are orange flavoured?|72 × 7/12|72 ÷ 7/12|72 − 5/12|72 × 5/12|A|5/12 are lemon, so the remaining 7/12 are orange — multiply the total directly by the fraction left: 72 × 7/12.|
9|A jacket costs £80. It is reduced by 15% in a sale. How much money is saved (the discount amount)?|80 × 15/100|80 ÷ 85 × 100|80 × 85/100|80 + (80 × 15/100)|A|15% of the price is saved as the discount — multiply the total directly by the percentage saved: 80 × 15/100.|
10|A £45 pair of trainers is on sale with 20% off. What is the sale price?|45 × 20/100|45 × 80/100|45 ÷ 80 × 100|45 + (45 × 20/100)|B|20% off means 80% of the price remains — multiply directly by the percentage left: 45 × 80/100.|
11|Of the 250 students in a school, 12% are absent today. How many students are present?|250 × 88/100|250 × 12/100|250 − 88/100|250 ÷ 88 × 100|A|12% are absent, so 88% are present — multiply directly by the percentage left: 250 × 88/100.|
12|A phone usually costs £320. It is discounted by 35% for a flash sale. How much is the discount (in £)?|320 × 65/100|320 × 35/100|320 ÷ 65 × 100|320 + (320 × 35/100)|B|35% of the price is taken off as the discount — multiply the total directly by the percentage discounted: 320 × 35/100.|
13|A bag of 150 apples is checked; 8% are found to be bruised and thrown away. How many apples are bruised and thrown away?|150 × 8/100|150 − 92/100|150 × 92/100|150 ÷ 92 × 100|A|8% of the apples are bruised — multiply the total directly by the percentage bruised: 150 × 8/100.|
14|A £60 game console accessory is marked down by 25% for a sale. How much is the discount (in £)?|60 ÷ 75 × 100|60 + (60 × 25/100)|60 × 25/100|60 × 75/100|C|25% of the price is taken off as the discount — multiply the total directly by the percentage discounted: 60 × 25/100.|
15|A theatre has 400 seats. 18% of the seats are unsold for tonight's show. How many seats are sold?|400 × 82/100|400 × 18/100|400 ÷ 82 × 100|400 − 82/100|A|18% are unsold, so 82% are sold — multiply directly by the percentage left: 400 × 82/100.|
16|A £900 laptop has 40% knocked off in a clearance sale. What is the clearance price?|900 × 60/100|900 ÷ 60 × 100|900 + (900 × 40/100)|900 × 40/100|A|40% off means 60% of the price remains — multiply directly by the percentage left: 900 × 60/100.|
17|A £250 washing machine's price rises by 8% due to new taxes. What is the new price?|250 × 8/100|250 × 108/100|250 ÷ 108 × 100|250 − (250 × 8/100)|B|An 8% rise means the new price is 108% of the old price — multiply directly by the new percentage: 250 × 108/100.|
18|A shop's rent of £1,200 per month increases by 15% next year. What will the new rent be?|1200 ÷ 115 × 100|1200 × 15/100|1200 × 115/100|1200 − (1200 × 15/100)|C|A 15% rise means the new rent is 115% of the old rent — multiply directly by the new percentage: 1200 × 115/100.|
19|A town's population of 40,000 grows by 6% over a year. What is the new population?|40000 × 6/100|40000 − (40000 × 6/100)|40000 ÷ 106 × 100|40000 × 106/100|D|A 6% rise means the new population is 106% of the old population — multiply directly by the new percentage: 40000 × 106/100.|
20|A recipe that serves 20 people is scaled up by 25% to serve a larger group. How many people will it now serve?|20 × 25/100|20 − (20 × 25/100)|20 ÷ 125 × 100|20 × 125/100|D|A 25% increase means the new number served is 125% of the original — multiply directly by the new percentage: 20 × 125/100.|
21|A company had 150 staff. It expanded its workforce by 30%. How many staff does it have now?|150 × 130/100|150 × 30/100|150 ÷ 130 × 100|150 − (150 × 30/100)|A|A 30% increase means the new staff count is 130% of the original — multiply directly by the new percentage: 150 × 130/100.|
22|A water bill of £40 increases by 12% after a price rise. What is the new bill?|40 ÷ 112 × 100|40 × 12/100|40 × 112/100|40 − (40 × 12/100)|C|A 12% rise means the new bill is 112% of the old bill — multiply directly by the new percentage: 40 × 112/100.|
23|A £50 bag is discounted by 20%, then a further 10% is taken off the sale price at the till. How much money in total is saved compared to the original price?|50 × 20/100 + 50 × 10/100|50 × 80/100 × 90/100|50 − (50 × 80/100 × 90/100)|50 × 20/100 × 10/100|C|The final price after both discounts is 50 × 80/100 × 90/100; subtracting that from the original £50 gives the total amount saved: 50 − (50 × 80/100 × 90/100).|
24|A theme park ticket costs £45. Members get 15% off, and then show a further £5 off voucher at checkout. How much in total do members save compared to the full price?|(45 × 85/100) − 5|45 × 15/100|45 − ((45 × 85/100) − 5)|45 × 15/100 + 5|C|Members pay (45 × 85/100) − 5; subtracting that from the full £45 price gives the total amount saved: 45 − ((45 × 85/100) − 5).|
25|Of a class of 32 students, 3/4 walk to school. Of those who walk, 1/3 also cycle sometimes. How many students both walk and sometimes cycle?|32 × 3/4 ÷ 1/3|32 × 1/4 × 1/3|32 × 3/4 × 1/3|32 ÷ 3/4 × 1/3|C|3/4 of the class walk, and 1/3 of those walkers also cycle — apply both fractions directly, one after the other: 32 × 3/4 × 1/3.|
26|A £200 sofa is reduced by 30% in a sale, and then VAT of 20% is added to the sale price. How much is added for VAT (in £)?|200 × 70/100|200 × 90/100|200 × 70/100 × 120/100|(200 − (200 × 30/100)) × 20/100|D|The sale price after the 30% discount is 200 × 70/100; VAT is 20% of that sale price — multiply directly: (200 − (200 × 30/100)) × 20/100.|
27|A gym has 80kg of weight plates. 1/2 of the weight is 5kg plates, and of the remaining weight, 40% is 10kg plates. How many kg are 10kg plates?|80 ÷ 1/2 × 40/100|80 × 1/2 × 40/100|80 × 1/2 × 60/100|80 × 40/100|B|Half the weight is 5kg plates, and 40% of the remaining half is 10kg plates — apply both fractions/percentages directly, one after the other: 80 × 1/2 × 40/100.|
28|A charity raised £3,000. It donates 60% to a hospital, and 25% of what remains to a school. How much goes to the school?|3000 × 25/100|3000 × 60/100 × 25/100|3000 × 40/100 × 25/100|3000 × 40/100|C|60% goes to the hospital, leaving 40%, and 25% of that remainder goes to the school — apply both percentages directly, one after the other: 3000 × 40/100 × 25/100.|
29|A 500-page book has 2/5 of its pages as illustrations. Of the illustrated pages, 30% are in colour. How many pages are coloured illustrations?|500 × 3/5 × 30/100|500 ÷ 2/5 × 30/100|500 × 30/100|500 × 2/5 × 30/100|D|2/5 of the pages are illustrations, and 30% of those are in colour — apply the fraction and percentage directly, one after the other: 500 × 2/5 × 30/100.|
30|A YouTuber has 6,000 subscribers. 45% of them are from the UK. Of the UK subscribers, 1/3 are under 18. How many UK subscribers are under 18?|6000 ÷ 45 × 100 × 1/3|6000 × 45/100 × 1/3|6000 × 55/100 × 1/3|6000 × 1/3|B|45% of subscribers are from the UK, and 1/3 of those are under 18 — apply the percentage and fraction directly, one after the other: 6000 × 45/100 × 1/3.|
31|Tom has £50. He spends 2/5 of it on a book, then spends a further £8 on lunch. How much did he spend in total?|50 × 3/5|(50 × 3/5) − 8|(50 × 2/5) + 8|50 × 2/5|C|He spent 2/5 of his money on the book, plus a further £8 on lunch — add the two amounts spent: (50 × 2/5) + 8.|
32|A water tank contains 800 litres. 25% is used for irrigation, and then 50 litres more is used for cleaning. How much water is used in total?|800 × 75/100|(800 × 75/100) − 50|(800 × 25/100) + 50|800 × 25/100|C|25% of the water is used for irrigation, plus a further 50 litres for cleaning — add the two amounts used: (800 × 25/100) + 50.|
33|Emma earns £600 a month. She saves 1/3 of it, then spends a further £45 on a gift for a friend. How much money does she have available to spend before buying the gift?|(600 × 2/3) − 45|600 × 2/3|(600 − 45) × 2/3|600 × 2/3 + 45|B|1/3 of her pay is saved, leaving 2/3 available to spend — multiply the total directly by the fraction available: 600 × 2/3.|
34|A stadium has 5,000 seats. 60% are sold as season tickets, and a further 200 seats are reserved for staff. How many seats are left for general sale?|5000 × 40/100 + 200|(5000 × 40/100) − 200|5000 × 40/100|(5000 − 200) × 40/100|B|60% sold leaves 40% of the seats, then the 200 staff seats are subtracted from that amount: (5000 × 40/100) − 200.|
35|A baker makes 240 muffins. 3/8 are sold in the morning, and then 15 more are given away to a food bank in the afternoon. How many muffins are sold or given away in total?|240 × 5/8|(240 × 3/8) + 15|(240 × 5/8) − 15|240 × 3/8|B|3/8 of the muffins are sold in the morning, plus a further 15 given away in the afternoon — add the two amounts: (240 × 3/8) + 15.|
36|A library has 1,500 books. 20% of them are currently on loan, and a further 30 books are removed for repair. How many books are not on the shelf (on loan or removed for repair)?|1500 × 80/100|(1500 × 80/100) − 30|(1500 × 20/100) + 30|1500 × 20/100|C|20% of the books are on loan, plus a further 30 removed for repair — add the two amounts not on the shelf: (1500 × 20/100) + 30.|
37|Sam spent 40% of his money on a toy and has £30 left. How much did he have to begin with?|x × 40/100 = 30|x ÷ 60 × 100 = 30|30 × 60/100 = x|x × 60/100 = 30|D|60% of his starting money equals the £30 he has left — set up the equation using the remaining percentage: x × 60/100 = 30.|
38|After giving away 1/4 of her stickers, Priya has 45 stickers left. How many stickers did she start with?|x × 1/4 = 45|x × 3/4 = 45|x ÷ 3/4 = 45|45 × 3/4 = x|B|3/4 of her stickers remain, and that equals the 45 she has left — set up the equation using the remaining fraction: x × 3/4 = 45.|
