Question Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|Feedback-A|Feedback-B|Feedback-C|Feedback-D|
33|The amateur drama group’s performances were often met with **derision**.|ridicule|humour|support|compliments|A|"Derision" means people are laughing at someone and making fun of them, like "ridicule".|Mocking, making fun of someone|Something that causes amusement|Help or encouragement given to someone|Polite expressions of praise|
34|The duchess made a lasting impression due to her air of **grandeur**.|arrogance|magnificence|shame|confidence|B|"Grandeur" means looking grand and impressive, like "magnificence".|An exaggerated sense of one's own importance|Impressive beauty or greatness|A painful feeling of guilt or embarrassment|A feeling of self-assurance|
35|The winner wasn’t the largest fighter, but he was **sinewy** and agile.|tall|determined|tough|aggressive|C|"Sinewy" describes someone lean and strong, like being "tough".|Having great height|Having a firm intention to achieve something|Lean, strong and resilient|Ready to attack or confront|
1|After **traversing** many mountains, plains, and rivers, they finally reached their destination.|discussing|navigating|crossing|struggling|C|To "traverse" means to travel across something, like "crossing".|Talking about something|Planning and directing a route|Travelling across something|Making great effort against difficulty|
2|Everyone stopped laughing immediately when they saw the **grave** look on his face.|mischievous|serious|comical|dejected|B|"Grave" here means very serious, not happy or funny.|Playfully causing trouble|Solemn and important|Causing laughter, funny|Sad and depressed|
3|The oldest member held such **sway** over the rest of the committee.|hammer|swing|influence|vertigo|C|To have "sway" over people means you have power or "influence" over them.|A tool used for hitting things|To move back and forth|Power to affect people's decisions|A dizzy, spinning sensation|
4|The student spoke to the famous professor with great **diffidence**.|arrogance|enthusiasm|shame|timidity|D|"Diffidence" means feeling shy or unsure of yourself, like "timidity".|An exaggerated sense of importance|Intense enjoyment or eagerness|A feeling of guilt or embarrassment|Shyness or lack of confidence|
5|Many **belligerent** children liked to hang around by the school gates and pick fights.|chatty|antagonistic|cheeky|irritated|B|"Belligerent" means acting angry and ready to fight, like being "antagonistic".|Fond of talking casually|Hostile and ready to fight or oppose|Showing playful disrespect|Feeling annoyed|
6|Her **exuberance** was infectious; before long, her colleagues were all grinning.|humour|contentedness|wit|cheerfulness|D|"Exuberance" means being full of happy energy, like "cheerfulness".|The quality of being amusing|A state of quiet satisfaction|Quick and clever humour|A state of being full of happy energy|
7|You have absolutely no evidence for that **baseless** accusation.|unstable|unfounded|unsustainable|biased|B|"Baseless" means there is no proof for it, like being "unfounded".|Likely to change or fail|Not based on facts or evidence|Unable to be maintained|Showing unfair prejudice|
8|After his illness, his face was pale and **drawn**.|green|pictured|swollen|gaunt|D|A "drawn" face looks thin and tired, like being "gaunt".|Inexperienced, or the colour green|Shown in an image|Enlarged, often from fluid or injury|Thin and haggard-looking, especially from illness|
9|The warlock that **dwelt** in the depths of the forest had not been seen for thousands of years.|lived|seethed|remained|hid|A|"Dwelt" is another word for "lived" somewhere.|Resided somewhere|Felt intense anger without showing it|Stayed in a place or state|Kept out of sight|
10|After the concert, Brijesh and his friends **convened** in the entrance hall.|congregated|loitered|hastened|conversed|A|"Convened" means people came together in a group, like they "congregated".|Gathered together in a group|Stood around without any clear purpose|Hurried, moved quickly|Talked with someone|
11|There were still a few **residual** traces of my new room’s previous occupant.|minor|inexcusable|tiny|remaining|D|"Residual" means what is left over, like "remaining".|Small or unimportant|Too bad to be forgiven|Very small in size|Left over after the rest has gone|
12|His face flushed with **indignation** as he listened to their scathing comments.|shock|embarrassment|resentment|disbelief|C|"Indignation" means feeling angry because something is unfair, like "resentment".|A sudden, upsetting surprise|A feeling of self-consciousness or awkwardness|Bitter anger at being treated unfairly|Inability to accept something is true|
13|The criminal hoped that the new evidence might earn her a **reprieve**.|clue|answer|punishment|pardon|D|A "reprieve" means a punishment is cancelled or put off, like a "pardon".|A piece of evidence to help solve something|A response to a question|A penalty for wrongdoing|Official forgiveness that cancels a punishment|
14|**Amid** the chaos, they remained calm and composed.|Considering|Surrounded by|Overwhelmed by|Despite|B|"Amid" means being in the middle of something, like "surrounded by".|Taking into account|In the middle of, encircled by|Completely overcome by something|Without being affected by|
15|I think footballers earn an **exorbitant** amount of money.|an excessive|a small|a generous|a large|A|"Exorbitant" means something costs way too much, like "an excessive" amount.|Far more than is reasonable|Not much|More than expected, given freely|Great in size or quantity|
36|Mr. Chapman marked his students’ work **rigorously**.|thoroughly|carelessly|constantly|rapidly|A|"Rigorously" means doing something very carefully and properly, like "thoroughly".|Completely and carefully|Without proper care or attention|Happening all the time|Very quickly|
37|The **secluded** cottage could be found deep in the forest.|peaceful|convenient|hidden|ancient|C|"Secluded" means a place that is quiet and hard to find, like being "hidden".|Calm and quiet|Easy to access or use|Difficult to find, out of sight|Very old|
38|Sarah demonstrated an impressive level of **stamina** on the fitness test.|strength|endurance|potential|ability|B|"Stamina" means being able to keep going for a long time, like "endurance".|Physical power|The ability to keep going for a long time|Capacity to develop in the future|Skill or capacity to do something|
39|After collecting her prize, Eleanor delivered a **humble** speech.|boring|ineffective|quiet|modest|D|Being "humble" means not boasting about yourself, like being "modest".|Not interesting|Not producing the desired result|Making little noise|Not boastful about one's achievements|
40|Many of the jurors agreed that the crime was **inexcusable**.|horrific|unforgivable|justified|legal|B|"Inexcusable" means something is so bad it can't be forgiven, like "unforgivable".|Causing horror|Too bad to be forgiven|Shown to be right or reasonable|Allowed by law|
11|The absence of the groom at his own wedding was **ominous**.|foreboding|forbidden|mournful|terrible|A|"Ominous" means it feels like something bad is about to happen, like "foreboding".|Giving a feeling that something bad will happen|Not allowed|Expressing sorrow or grief|Extremely bad or unpleasant|
12|Cecilia’s **devotion** to her new job was impressive, if a little overzealous.|inattentiveness|reference|commitment|resistance|C|"Devotion" means caring about something a lot and working hard for it, like "commitment".|Failure to pay attention|A mention or citation of something|Dedication to a cause or activity|Refusal to accept or comply with something|
13|Everyone at the party was very nice, except Jonathan; he was just so **arrogant**!|clumsy|talented|boring|condescending|D|Being "arrogant" means thinking you're better than everyone else, like being "condescending".|Awkward in movement|Having a natural ability|Not interesting|Showing an attitude of superiority|
14|We made a **spontaneous** decision to drive to Scotland for a weekend hiking trip.|outrageous|impulsive|disorganised|poor|B|"Spontaneous" means doing something suddenly without planning, like being "impulsive".|Shockingly bad or excessive|Done suddenly without planning|Lacking order or planning|Lacking money or quality|
15|Jess has **integrated** very well at her new school.|accepted|trialled|simulated|assimilated|D|"Integrated" means fitting in well with a new group, like being "assimilated".|Agreed to receive or approve of|Tested to see if something works|Imitated the appearance of something|Absorbed and become part of a group|
16|“How could you be so **reckless** as to drive my car without a licence?” Mum shrieked.|overconfident|sensitive|helpless|irresponsible|D|"Reckless" means not thinking about what could go wrong, like being "irresponsible".|Excessively sure of oneself|Easily affected or hurt|Unable to help oneself|Not thinking about the consequences of actions|
17|Daniel was rather **sheepish** when confronted about stealing the money.|aggressive|embarrassed|adamant|laidback|B|"Sheepish" means feeling shy or awkward after doing something wrong, like being "embarrassed".|Ready to attack or confront|Feeling awkward or ashamed|Refusing to change one's mind|Relaxed and easy-going|
