Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
1|1298 × 75 = 97350.\nWhich formula works out 12.98 × 78?|(97350 + 3 × 1298) ÷ 100|97350 × 3 ÷ 100|(97350 - 3 × 1298) ÷ 100|(97350 + 3 × 1298) × 100|A|12.98 = 1298 ÷ 100, and 78 = 75 + 3. So 12.98 × 78 = (1298 × 75 + 3 × 1298) ÷ 100 = (97350 + 3 × 1298) ÷ 100.|
2|2456 × 34 = 83504.\nWhich formula works out 245.6 × 102?|83504 × 3 × 10|83504 × 10 ÷ 3|83504 ÷ 3 ÷ 10|83504 × 3 ÷ 10|D|245.6 = 2456 ÷ 10, and 102 = 34 × 3. So 245.6 × 102 = (2456 × 34) × 3 ÷ 10 = 83504 × 3 ÷ 10.|
3|8420 × 15 = 126300.\nWhich formula works out 8.42 × 90?|126300 × 6 × 1000|126300 × 1000 ÷ 6|126300 × 6 ÷ 1000|126300 ÷ 6 ÷ 1000|C|8.42 = 8420 ÷ 1000, and 90 = 15 × 6. So 8.42 × 90 = (8420 × 15) × 6 ÷ 1000 = 126300 × 6 ÷ 1000.|
4|36500 × 24 = 876000.\nWhich formula works out 365 × 27?|(876000 + 3 × 36500) ÷ 100|876000 × 3 ÷ 100|(876000 - 3 × 36500) ÷ 100|(876000 + 3 × 36500) × 100|A|365 = 36500 ÷ 100, and 27 = 24 + 3. So 365 × 27 = (36500 × 24 + 3 × 36500) ÷ 100 = (876000 + 3 × 36500) ÷ 100.|
5|7350 × 48 = 352800.\nWhich formula works out 735 × 240?|352800 × 5 × 10|352800 × 10 ÷ 5|352800 × 5 ÷ 10|352800 ÷ 5 ÷ 10|C|735 = 7350 ÷ 10, and 240 = 48 × 5. So 735 × 240 = (7350 × 48) × 5 ÷ 10 = 352800 × 5 ÷ 10.|
6|49200 × 17 = 836400.\nWhich formula works out 492 × 20?|(836400 + 3 × 49200) ÷ 100|836400 × 3 ÷ 100|(836400 - 3 × 49200) ÷ 100|(836400 + 3 × 49200) × 100|A|492 = 49200 ÷ 100, and 20 = 17 + 3. So 492 × 20 = (49200 × 17 + 3 × 49200) ÷ 100 = (836400 + 3 × 49200) ÷ 100.|
7|91500 × 26 = 2379000.\nWhich formula works out 91.5 × 182?|2379000 × 7 × 1000|2379000 ÷ 7 ÷ 1000|2379000 × 7 ÷ 1000|2379000 × 1000 ÷ 7|C|91.5 = 91500 ÷ 1000, and 182 = 26 × 7. So 91.5 × 182 = (91500 × 26) × 7 ÷ 1000 = 2379000 × 7 ÷ 1000.|
8|5640 × 92 = 518880.\nWhich formula works out 564 × 276?|518880 × 3 × 10|518880 ÷ 3 ÷ 10|518880 × 10 ÷ 3|518880 × 3 ÷ 10|D|564 = 5640 ÷ 10, and 276 = 92 × 3. So 564 × 276 = (5640 × 92) × 3 ÷ 10 = 518880 × 3 ÷ 10.|
9|73000 × 19 = 1387000.\nWhich formula works out 730 × 171?|1387000 × 100 ÷ 9|1387000 × 9 ÷ 100|1387000 × 9 × 100|1387000 ÷ 9 ÷ 100|B|730 = 73000 ÷ 100, and 171 = 19 × 9. So 730 × 171 = (73000 × 19) × 9 ÷ 100 = 1387000 × 9 ÷ 100.|
10|26800 × 55 = 1474000.\nWhich formula works out 268 × 51?|(1474000 - 4 × 26800) ÷ 100|1474000 × 4 ÷ 100|(1474000 + 4 × 26800) ÷ 100|(1474000 - 4 × 26800) × 100|A|268 = 26800 ÷ 100, and 51 = 55 - 4. So 268 × 51 = (26800 × 55 - 4 × 26800) ÷ 100 = (1474000 - 4 × 26800) ÷ 100.|
