Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
1|A basket has 40 apples. 3/5 of them are red. How many apples are red?|40 × 3/5|40 ÷ 3/5|40 − (40 × 3/5)|40 + 3/5|A|Multiply the total number of apples by the fraction that are red: 40 × 3/5.|
2|A garden has 60 flowers. 1/4 of them are roses, and the rest are tulips. How many flowers are tulips?|60 × 1/4|60 − (60 × 1/4)|60 ÷ 1/4|60 + (60 × 1/4)|B|First find the number of roses (60 × 1/4), then subtract that from the total to find the tulips: 60 − (60 × 1/4).|
3|Liam has $45. He spends 2/3 of it on a video game. How much money does he have left?|45 × 2/3|45 ÷ 2/3|45 − (45 × 2/3)|45 + (45 × 2/3)|C|Find how much he spent (45 × 2/3), then subtract that from his total to find what's left: 45 − (45 × 2/3).|
4|There are 28 students in a class. 3/4 of them walk to school, and the rest take the bus. How many students take the bus?|28 × 3/4|28 + (28 × 3/4)|28 ÷ 3/4|28 − (28 × 3/4)|D|Find how many students walk (28 × 3/4), then subtract that from the total to find how many take the bus: 28 − (28 × 3/4).|
5|A recipe needs 2/5 of a 20 kg bag of flour. How many kg of flour does the recipe need?|20 × 2/5|20 ÷ 2/5|20 − (20 × 2/5)|20 + 2/5|A|Multiply the total bag weight by the fraction needed: 20 × 2/5.|
6|Grapes cost $2.40 per kg. Sophie buys 3.5 kg. How much does she pay?|2.40 ÷ 3.5|2.40 × 3.5|2.40 + 3.5|3.5 ÷ 2.40|B|Multiply the price per kg by the number of kg bought: 2.40 × 3.5.|
7|A ribbon is 12.5 m long. Maya cuts off a piece that is 3.2 m long. How many meters of ribbon are left?|12.5 + 3.2|12.5 × 3.2|12.5 − 3.2|3.2 − 12.5|C|Subtract the length that was cut off from the original length: 12.5 − 3.2.|
8|A sandwich costs $6.75. Ben pays with a $10 note. How much change does he get?|10 + 6.75|6.75 − 10|10 × 6.75|10 − 6.75|D|Subtract the cost of the sandwich from the $10 note: 10 − 6.75.|
9|Ella earns $8.50 per hour. She works 4 hours on Monday and 3 hours on Tuesday. How much does she earn in total?|8.50 × (4 + 3)|(8.50 × 4) + 3|8.50 + (4 × 3)|8.50 × 4 × 3|A|Add the two days' hours together, then multiply by the hourly rate: 8.50 × (4 + 3).|
10|On Monday, 2.4 cm of rain fell. On Tuesday, 1.8 cm fell. How many cm of rain fell in total over the two days?|2.4 − 1.8|2.4 + 1.8|2.4 × 1.8|2.4 ÷ 1.8|B|Add the rainfall from both days together: 2.4 + 1.8.|
11|A school has 200 students. 35% of them are in the choir. How many students are in the choir?|200 ÷ 35 × 100|200 − (200 × 35 ÷ 100)|200 × 35 ÷ 100|200 + (200 × 35 ÷ 100)|C|Find 35% of the total number of students: 200 × 35 ÷ 100.|
12|A $80 jacket is discounted by 25%. What is the sale price?|80 × 25 ÷ 100|80 + (80 × 25 ÷ 100)|80 ÷ 25 × 100|80 − (80 × 25 ÷ 100)|D|Find 25% of the original price, then subtract it from the price: 80 − (80 × 25 ÷ 100).|
13|A $50 phone bill increases by 12%. What is the new bill?|50 + (50 × 12 ÷ 100)|50 × 12 ÷ 100|50 − (50 × 12 ÷ 100)|50 ÷ 12 × 100|A|Find 12% of the original bill, then add it to the bill: 50 + (50 × 12 ÷ 100).|
14|A $120 bicycle is discounted by 15%, then a $10 assembly fee is added. What is the total cost?|120 − (120 × 15 ÷ 100) − 10|(120 − (120 × 15 ÷ 100)) + 10|120 + (120 × 15 ÷ 100) + 10|120 × 15 ÷ 100 + 10|B|Apply the 15% discount to the bicycle's price first, then add the $10 assembly fee: (120 − (120 × 15 ÷ 100)) + 10.|
15|A park has 150 trees. 20% of them are oak trees. How many oak trees are in the park?|150 ÷ 20 × 100|150 − (150 × 20 ÷ 100)|150 × 20 ÷ 100|150 + (150 × 20 ÷ 100)|C|Find 20% of the total number of trees: 150 × 20 ÷ 100.|
16|A jar has 48 cookies. Noah eats 1/4 of them, then gives 5 more to his friend. How many cookies are left?|48 − (48 × 1/4) + 5|48 × 1/4 − 5|48 − 1/4 − 5|48 − (48 × 1/4) − 5|D|Find how many cookies remain after eating 1/4 (48 − (48 × 1/4)), then subtract the 5 given away: 48 − (48 × 1/4) − 5.|
17|A store sells notebooks for $2.50 each. During a sale, all notebooks are 20% off. How much does one notebook cost during the sale?|2.50 − (2.50 × 20 ÷ 100)|2.50 × 20 ÷ 100|2.50 + (2.50 × 20 ÷ 100)|2.50 ÷ 20 × 100|A|Find 20% of the notebook's price, then subtract it from the price: 2.50 − (2.50 × 20 ÷ 100).|
18|Ava has $36. She puts 1/3 of it into savings, then spends $4.50 on a snack. How much money does she have left?|36 − (36 × 1/3) + 4.5|36 − (36 × 1/3) − 4.5|36 × 1/3 − 4.5|36 − 1/3 − 4.5|B|Find how much money is left after savings (36 − (36 × 1/3)), then subtract the $4.50 spent on the snack: 36 − (36 × 1/3) − 4.5.|
19|Mia is training for a 40 km race. She has already run 60% of the distance. How many km does she have left to run?|40 × 60 ÷ 100|40 + (40 × 60 ÷ 100)|40 − (40 × 60 ÷ 100)|40 ÷ 60 × 100|C|Find the distance she has already run (40 × 60 ÷ 100), then subtract it from the total distance: 40 − (40 × 60 ÷ 100).|
20|A book costs $24.00. The store takes off 1/4 of the price for a clearance sale. How much does the book cost now?|24.00 × 1/4|24.00 ÷ 1/4|24.00 + (24.00 × 1/4)|24.00 − (24.00 × 1/4)|D|Find 1/4 of the book's price, then subtract it from the price: 24.00 − (24.00 × 1/4).|
