Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
1|Sophia buys 5 candles at $4.50 each and a card for $3. She uses a $6 gift voucher that reduces her total. How much does she pay after the voucher?|(5 × 4.5 + 3) + 6|5 × (4.5 + 3) − 6|(5 × 4.5 + 3) − 6|5 × 4.5 + (3 − 6)|C|Find the cost of the candles and card together, then subtract the $6 voucher: (5 × 4.5 + 3) − 6.|
2|A furniture store sells a chair for $85 with a 15% discount, then adds a $20 delivery fee. What is the total cost including delivery?|(85 − 85×15÷100) + 20|85 − (85×15÷100 + 20)|(85 + 20) × 15 ÷ 100|85×15÷100 + 20|A|Apply the 15% discount to the chair's price first, then add the $20 delivery fee: (85 − 85×15÷100) + 20.|
3|A café combo meal costs $12. Ordering 3 combos gets a 10% discount on the combined total. How much do 3 combos cost after the discount?|3×12×10÷100|(3×12) + (3×12×10÷100)|3 × (12 − 10)|(3×12) − (3×12×10÷100)|D|Find the cost of 3 combos, then subtract 10% of that total: (3×12) − (3×12×10÷100).|
4|Liam buys a jacket for $60. The store takes $5 off for every $20 spent. How much does he pay after the discount?|(60÷20)×5|60 − (60÷20)×5|60 + (60÷20)×5|60 − 60÷(20×5)|B|Find how many times the $20 threshold is met (60÷20 = 3), multiply by $5 to get the total discount, then subtract it from $60: 60 − (60÷20)×5.|
5|Tickets to a fair cost $8 for adults and $5 for children. A family of 2 adults and 3 children buys tickets, and gets a $4 discount for buying 5 or more tickets. How much do they pay in total?|(2×8 + 3×5) + 4|2×8 + 3×(5−4)|(2×8 + 3×5) − 4|(2+8)×(3+5) − 4|C|Add up the cost of the adult and child tickets, then subtract the $4 discount: (2×8 + 3×5) − 4.|
6|Rice costs $2.20 per kg. Mia buys 6 kg, but every kg over the first 4 kg is discounted by $0.20. How much does she pay in total?|6×2.2 − 0.2|6×(2.2−0.2)|(4×2.2) − (2×(2.2−0.2))|(4×2.2) + (2×(2.2−0.2))|D|Pay full price for the first 4 kg, then pay the discounted rate for the remaining 2 kg, and add the two amounts: (4×2.2) + (2×(2.2−0.2)).|
7|A gym membership costs $40 per month. Signing up for 6 months gives a $15 discount off the total. How much does the 6-month membership cost?|6×(40−15)|(6×40) + 15|(6×40) − 15|6×40÷15|C|Find the cost of 6 months, then subtract the $15 discount: (6×40) − 15.|
8|Ben has $150. He buys a helmet for $30 and knee pads for $21, then spends a third of what remains on gloves. How much does he spend on gloves?|(150 − 30 − 21) × 3|150 ÷ 3 − 30 − 21|150 − (30 + 21) ÷ 3|(150 − 30 − 21) ÷ 3|D|Subtract both purchases from $150 to find what remains, then take a third of that: (150 − 30 − 21) ÷ 3.|
9|A print shop charges $0.10 per page, but orders of 100 pages or more get a flat $5 discount. Zoe prints 120 pages. How much does she pay?|(120×0.10) − 5|100×0.10 − 5|(120×0.10) + 5|120×0.10÷5|A|Find the cost of 120 pages, then subtract the $5 discount: (120×0.10) − 5.|
10|A hotel room costs $90 per night. Staying 4 nights or more gives 20% off the total bill. Noah stays 5 nights. How much does he pay?|5×90×20÷100|(5×90) + (5×90×20÷100)|5×(90−20)|(5×90) − (5×90×20÷100)|D|Find the cost of 5 nights, then subtract 20% of that total: (5×90) − (5×90×20÷100).|
11|Two friends share a $72 taxi fare equally, and each also pays a $3 tip. How much does each person pay in total?|(72+3)÷2|(72÷2) + 3|72÷(2+3)|(72÷2) − 3|B|Split the fare between the two friends first, then add each person's own $3 tip: (72÷2) + 3.|
12|A phone case costs $18. Buying 3 or more gets each case discounted by $4. Ava buys 5 cases. How much does she pay in total?|(5×18) − 4|(5×18) + (5×4)|5×(18−4)|5×18 − 4×2|C|Apply the $4 discount to one case first, then multiply by the number of cases bought: 5×(18−4).|
13|A bakery sells muffins at $2 each, or a dozen (12) for $18. Ethan wants exactly 12 muffins. How much does he save by buying the dozen box instead of 12 individual muffins?|18−(12×2)|(12×2) − 18|12×(2−18)|(12×2) + 18|B|Find the cost of 12 individual muffins, then subtract the box price to find the savings: (12×2) − 18.|
14|A store offers a 25% discount on a $64 blender, and an extra flat $6 off for members. How much does a member pay for the blender?|64×25÷100 − 6|(64−6)×25÷100|(64 − 64×25÷100) − 6|64 − 64×(25+6)÷100|C|Apply the 25% discount to the blender's price first, then subtract the extra $6 member discount: (64 − 64×25÷100) − 6.|
15|A parking garage charges $6 for the first hour and $2 for each additional hour. How much does it cost to park for 5 hours?|6 + (5−1)×2|5×6 + 2|6 + 5×2|(6+2)×5|A|Pay $6 for the first hour, then $2 for each of the remaining 4 hours: 6 + (5−1)×2.|
16|Grace buys 3 concert tickets at $45 each through a website that adds a flat $7.50 booking fee per order. How much does she pay in total?|3×(45+7.5)|(3×45) − 7.5|3×45×7.5|(3×45) + 7.5|D|Find the cost of the 3 tickets, then add the single $7.50 booking fee: (3×45) + 7.5.|
17|A car rental costs $35 per day. Renting for a full week (7 days) gives a $50 discount off the total. How much does a 7-day rental cost?|7×(35−50)|(7×35) + 50|(7×35) − 50|7×35÷50|C|Find the cost of 7 days, then subtract the $50 discount: (7×35) − 50.|
18|Owen buys 4 shirts priced at $22 each. The store takes 10% off the total, then adds a flat $3 shipping fee. How much does he pay?|4×22×10÷100 + 3|(4×22 − 4×22×10÷100) + 3|(4×22 − 4×22×10÷100) − 3|(4×22 + 3) × 10 ÷ 100|B|Apply the 10% discount to the shirts' total first, then add the $3 shipping fee: (4×22 − 4×22×10÷100) + 3.|
19|A vending machine sells drinks for $2.50 each, but every 6th drink is free. Chloe buys 9 drinks for her team. How much does she pay in total?|9×2.5|(9−6)×2.5|8×2.5|9×2.5 − 2.5×2|C|Among the 9 drinks, only the 6th one is free, so she pays for 8 drinks: 8×2.5.|
20|A store charges $50 for a lamp and gives 20% off the entire order once a customer spends $150 or more. Mason buys 3 lamps. How much does he pay?|3×50×20÷100|(3×50) + (3×50×20÷100)|3×(50−20)|(3×50) − (3×50×20÷100)|D|Three lamps cost $150, which meets the discount threshold, so find the total cost and subtract 20% of it: (3×50) − (3×50×20÷100).|
21|A shipping company uses trucks that hold 24 crates each. After using 3 full trucks, they need vans that hold 10 crates each for the rest of 187 total crates. How many vans are needed?|(187 − 3×24) ÷ 10, rounded up to the next whole number|(187 ÷ 24 − 3) ÷ 10, rounded up to the next whole number|(187 − 3×24) ÷ 10, rounded down to the next whole number|187 ÷ (3×24×10), rounded up to the next whole number|A|First find the crates left after 3 full trucks (187 − 3×24), then divide by the van's capacity and round up since the leftover crates still need a van: (187 − 3×24) ÷ 10, rounded up to the next whole number.|
22|A stadium's seating is arranged in blocks of 25 seats. For an event with 517 attendees, how many seats are empty in the last, partly-filled block?|the remainder when 517 is divided by 25|517 ÷ 25, rounded up to the next whole number|25 − (the remainder when 517 is divided by 25)|517 ÷ 25, rounded down to the next whole number|C|First find how many people are in the last block (the remainder when 517 is divided by 25 = 17), then subtract that from the block size of 25 to find the empty seats: 25 − (the remainder when 517 is divided by 25).|
23|A ferry can carry 45 passengers per trip, but the crew always leaves 5 spaces empty for safety. If 312 passengers need to cross, how many trips are needed?|312 ÷ 45, rounded up to the next whole number|312 ÷ (45 − 5), rounded up to the next whole number|312 ÷ (45 + 5), rounded up to the next whole number|312 ÷ (45 − 5), rounded down to the next whole number|B|First find the usable capacity per trip (45 − 5), then divide the passengers by that number and round up since the leftover passengers still need a trip: 312 ÷ (45 − 5), rounded up to the next whole number.|
24|A moving truck holds 250 boxes, but 30 boxes' worth of space is reserved for equipment on every trip. How many trips are needed to move 940 boxes?|940 ÷ 250, rounded up to the next whole number|940 ÷ 250, rounded down to the next whole number|940 ÷ (250 + 30), rounded up to the next whole number|940 ÷ (250 − 30), rounded up to the next whole number|D|First find the usable capacity per trip (250 − 30), then divide the total boxes by that number and round up since the leftover boxes still need a trip: 940 ÷ (250 − 30), rounded up to the next whole number.|
25|A school fills 3 buses that each hold 48 students, then needs minibuses that hold 15 students each for the rest of the 380 students. How many minibuses are needed?|(380 − 3×48) ÷ 15, rounded up to the next whole number|(380 ÷ 3 − 48) ÷ 15, rounded up to the next whole number|(380 − 3×48) ÷ 15, rounded down to the next whole number|380 ÷ (3×48 + 15), rounded up to the next whole number|A|First find the students left after the 3 big buses (380 − 3×48), then divide by the minibus capacity and round up since the leftover students still need a minibus: (380 − 3×48) ÷ 15, rounded up to the next whole number.|
26|An elevator can carry 12 people, but on moving day 2 of those spots are always taken up by boxes. How many trips are needed to move 87 people?|87 ÷ 12, rounded up to the next whole number|87 ÷ (12 + 2), rounded up to the next whole number|87 ÷ (12 − 2), rounded up to the next whole number|87 ÷ (12 − 2), rounded down to the next whole number|C|First find the usable capacity per trip (12 − 2), then divide the people by that number and round up since the remaining people still need a trip: 87 ÷ (12 − 2), rounded up to the next whole number.|
27|A warehouse packs items into large crates of 60 first. Any items left over after filling as many large crates as possible are packed into small boxes of 8. If there are 495 items, how many small boxes are needed for the leftovers?|495 ÷ 8, rounded up to the next whole number|(the remainder when 495 is divided by 60) ÷ 8, rounded up to the next whole number|(the remainder when 60 is divided by 495) ÷ 8, rounded up to the next whole number|(the remainder when 495 is divided by 60) ÷ 8, rounded down to the next whole number|B|First find the items left over after full crates (the remainder when 495 is divided by 60 = 15), then divide by the small box capacity and round up since the leftover items still need a box: (the remainder when 495 is divided by 60) ÷ 8, rounded up to the next whole number.|
28|A concert venue has a main floor with capacity 800 and a balcony that adds an extra 15% of the main floor's capacity. If 905 people attend, how many empty seats are there?|905 − (800 + 800×15÷100)|(800 × 15 ÷ 100) − 905|800 + (800×15÷100 − 905)|(800 + 800×15÷100) − 905|D|First find the venue's total capacity (800 + 800×15÷100), then subtract the number of attendees to find the empty seats: (800 + 800×15÷100) − 905.|
29|A stadium seats people in sections of 85. If 692 people attend and the last section is only partly filled, how many more people could that section still hold?|85 − (the remainder when 692 is divided by 85)|the remainder when 692 is divided by 85|692 ÷ 85, rounded up to the next whole number|85 − (692 ÷ 85, rounded down to the next whole number)|A|First find how many people are already in the last section (the remainder when 692 is divided by 85 = 12), then subtract that from the section size of 85 to find how many more it can hold: 85 − (the remainder when 692 is divided by 85).|
30|A charity packs 50 full boxes of 14 items first, then packs the remaining items into boxes of 6. If there are 812 items in total, how many boxes of 6 are needed for the rest?|(812 ÷ 50 − 14) ÷ 6, rounded up to the next whole number|(812 − 50×14) ÷ 6, rounded down to the next whole number|(812 − 50×14) ÷ 6, rounded up to the next whole number|812 ÷ (50×14 + 6), rounded up to the next whole number|C|First find the items left after the 50 boxes of 14 (812 − 50×14), then divide by 6 and round up since the leftover items still need a box: (812 − 50×14) ÷ 6, rounded up to the next whole number.|
31|A bus holds 52 passengers. On a holiday, demand doubles from the usual 310 passengers. How many buses are needed for the holiday crowd?|(310 ÷ 2) ÷ 52, rounded up to the next whole number|(310 × 2) ÷ 52, rounded up to the next whole number|310 ÷ 52, rounded up to the next whole number|(310 × 2) ÷ 52, rounded down to the next whole number|B|First find the holiday passenger count (310 × 2), then divide by the bus capacity and round up since the leftover passengers still need a bus: (310 × 2) ÷ 52, rounded up to the next whole number.|
32|A wedding venue seats 10 guests at a separate head table, then fills round tables of 8 guests each for the rest. For 245 total guests, how many round tables are needed?|245 ÷ (8 + 10), rounded up to the next whole number|(245 − 10) ÷ 8, rounded down to the next whole number|(245 ÷ 8) − 10, rounded up to the next whole number|(245 − 10) ÷ 8, rounded up to the next whole number|D|First subtract the 10 guests at the head table from the total (245 − 10), then divide by the round table capacity and round up since the leftover guests still need a table: (245 − 10) ÷ 8, rounded up to the next whole number.|
33|A courier van delivers packages in loads of 27. On a day when 3 of the 400 packages are damaged and left behind, how many trips are needed to deliver the rest?|(400 − 3) ÷ 27, rounded up to the next whole number|400 ÷ (27 − 3), rounded up to the next whole number|(400 − 3) ÷ 27, rounded down to the next whole number|400 ÷ 27, rounded up to the next whole number|A|First subtract the 3 damaged packages from the total (400 − 3), then divide by the van's load size and round up since the leftover packages still need a trip: (400 − 3) ÷ 27, rounded up to the next whole number.|
34|An assembly line packs items into boxes of 18. The last box is only partly filled with the remaining items from 250 total. How many more items would be needed to completely fill that last box?|the remainder when 250 is divided by 18|250 ÷ 18, rounded up to the next whole number|18 − (the remainder when 250 is divided by 18)|18 − (250 ÷ 18, rounded down to the next whole number)|C|First find how many items are already in the last box (the remainder when 250 is divided by 18 = 16), then subtract that from the box size of 18 to find how many more are needed: 18 − (the remainder when 250 is divided by 18).|
35|A small plane seats 32 passengers, and a large plane seats twice as many. After filling 2 large planes completely, how many small planes are needed for the rest of 550 total passengers?|(550 ÷ 2 − 32×2) ÷ 32, rounded up to the next whole number|(550 − 2×(32×2)) ÷ 32, rounded up to the next whole number|(550 − 2×(32×2)) ÷ 32, rounded down to the next whole number|550 ÷ (2×32×2 + 32), rounded up to the next whole number|B|First find the passengers left after the 2 large planes (550 − 2×(32×2)), then divide by the small plane's capacity and round up since the leftover passengers still need a plane: (550 − 2×(32×2)) ÷ 32, rounded up to the next whole number.|
36|A recycling bin's stated capacity is 40 cans, but compacting lets each bin effectively hold 3 times that amount. How many bins are needed to collect 860 cans?|860 ÷ 40 × 3, rounded up to the next whole number|860 ÷ (40 × 3), rounded down to the next whole number|(860 ÷ 3) ÷ 40, rounded up to the next whole number|860 ÷ (40 × 3), rounded up to the next whole number|D|First find each bin's effective capacity (40 × 3), then divide the total cans by that number and round up since the leftover cans still need a bin: 860 ÷ (40 × 3), rounded up to the next whole number.|
37|A shuttle van seats 16 people, but 2 seats are reserved for luggage and 1 more is taken by the driver. How many trips are needed for 137 passengers?|137 ÷ (16 − 2 − 1), rounded up to the next whole number|137 ÷ (16 − 2 − 1), rounded down to the next whole number|137 ÷ 16, rounded up to the next whole number|137 ÷ (16 − 2 + 1), rounded up to the next whole number|A|First find the usable seats per trip (16 − 2 − 1), then divide the passengers by that number and round up since the leftover passengers still need a trip: 137 ÷ (16 − 2 − 1), rounded up to the next whole number.|
38|A summer camp has 192 children this year, 5 of whom are counselors-in-training with their own separate cabin. How many regular cabins of 12 are needed for the rest?|192 ÷ (12 − 5), rounded up to the next whole number|(192 − 5) ÷ 12, rounded down to the next whole number|(192 − 5) ÷ 12, rounded up to the next whole number|192 ÷ 12, rounded up to the next whole number|C|First subtract the 5 counselors-in-training from the total (192 − 5), then divide by the cabin size and round up since the leftover children still need a cabin: (192 − 5) ÷ 12, rounded up to the next whole number.|
39|Delivery drones each carry 5 packages per flight, and weather rules limit each drone to 3 flights per day. How many drones are needed to deliver 172 packages in a day?|172 ÷ (5 + 3), rounded up to the next whole number|172 ÷ (5 × 3), rounded up to the next whole number|172 ÷ (5 × 3), rounded down to the next whole number|(172 ÷ 5) × 3, rounded up to the next whole number|B|First find each drone's total daily capacity (5 × 3), then divide the packages by that number and round up since the leftover packages still need a drone: 172 ÷ (5 × 3), rounded up to the next whole number.|
40|A conference room seats 60 people. This year's attendance is 30% higher than last year's 290 attendees. How many rooms are needed for this year's sessions?|290 ÷ 60, rounded up to the next whole number|(290 × 30 ÷ 100) ÷ 60, rounded up to the next whole number|(290 + 290×30÷100) ÷ 60, rounded down to the next whole number|(290 + 290×30÷100) ÷ 60, rounded up to the next whole number|D|First find this year's attendance (290 + 290×30÷100), then divide by the room capacity and round up since the leftover attendees still need a room: (290 + 290×30÷100) ÷ 60, rounded up to the next whole number.|
