Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
1|In a village, everyone grows some kind of plant. Two-fifths of the people grow vegetables. 40% of the rest grow fruits. The remaining 36 people grow medicinal plants. How many people live in the village in total?|total = 36 ÷ 3/5|total = 36 ÷ (3/5 × 60/100)|total = 36 ÷ (2/5 × 40/100)|total = 36 ÷ 60/100|B|2/5 grow vegetables, leaving 3/5 of the total. 40% of that remainder grow fruits, so the 36 left over make up 60% of the remainder — that's 3/5 × 60/100 of everyone: total = 36 ÷ (3/5 × 60/100).|
2|At a tech company, 3/8 of the staff work in engineering. 20% of the rest work in sales. The remaining 80 staff work in support. How many staff does the company employ in total?|total = 80 ÷ 5/8|total = 80 ÷ (5/8 × 80/100)|total = 80 ÷ (3/8 × 20/100)|total = 80 ÷ 80/100|B|3/8 work in engineering, leaving 5/8 of the total. 20% of that remainder work in sales, so the 80 left over make up 80% of the remainder — that's 5/8 × 80/100 of everyone: total = 80 ÷ (5/8 × 80/100).|
3|At a school, 1/4 of the students join the art club. 60% of the rest join the drama club. The remaining 36 students join no club at all. How many students attend the school in total?|total = 36 ÷ 3/4|total = 36 ÷ (3/4 × 40/100)|total = 36 ÷ (1/4 × 60/100)|total = 36 ÷ 40/100|B|1/4 join the art club, leaving 3/4 of the total. 60% of that remainder join the drama club, so the 36 left over make up 40% of the remainder — that's 3/4 × 40/100 of everyone: total = 36 ÷ (3/4 × 40/100).|
4|In an apartment block, 3/7 of the residents own a pet. 50% of the rest recycle regularly. The remaining 40 residents do neither. How many residents live in the block in total?|total = 40 ÷ 4/7|total = 40 ÷ (4/7 × 50/100)|total = 40 ÷ (3/7 × 50/100)|total = 40 ÷ 50/100|B|3/7 own a pet, leaving 4/7 of the total. 50% of that remainder recycle regularly, so the 40 left over make up 50% of the remainder — that's 4/7 × 50/100 of everyone: total = 40 ÷ (4/7 × 50/100).|
5|At a summer festival, 5/9 of the visitors buy a food ticket. 30% of the rest buy a drinks-only ticket. The remaining 56 visitors buy nothing extra. How many people attend the festival in total?|total = 56 ÷ 4/9|total = 56 ÷ (4/9 × 70/100)|total = 56 ÷ (5/9 × 30/100)|total = 56 ÷ 70/100|B|5/9 buy a food ticket, leaving 4/9 of the total. 30% of that remainder buy a drinks-only ticket, so the 56 left over make up 70% of the remainder — that's 4/9 × 70/100 of everyone: total = 56 ÷ (4/9 × 70/100).|
6|At a charity, 1/3 of the volunteers work at the shelter. 40% of the rest work at the food bank. The remaining 24 volunteers work at the park cleanup. How many volunteers does the charity have in total?|total = 24 ÷ 2/3|total = 24 ÷ (2/3 × 60/100)|total = 24 ÷ (1/3 × 40/100)|total = 24 ÷ 60/100|B|1/3 work at the shelter, leaving 2/3 of the total. 40% of that remainder work at the food bank, so the 24 left over make up 60% of the remainder — that's 2/3 × 60/100 of everyone: total = 24 ÷ (2/3 × 60/100).|
7|In a small town, 2/7 of the residents commute by bicycle. 25% of the rest commute by bus. The remaining 75 residents commute by car. How many residents live in the town in total?|total = 75 ÷ 5/7|total = 75 ÷ (5/7 × 75/100)|total = 75 ÷ (2/7 × 25/100)|total = 75 ÷ 75/100|B|2/7 commute by bicycle, leaving 5/7 of the total. 25% of that remainder commute by bus, so the 75 left over make up 75% of the remainder — that's 5/7 × 75/100 of everyone: total = 75 ÷ (5/7 × 75/100).|
8|At a factory, 3/10 of the workers are on the morning shift. 60% of the rest are on the evening shift. The remaining 28 workers are on the night shift. How many workers does the factory employ in total?|total = 28 ÷ 7/10|total = 28 ÷ (7/10 × 40/100)|total = 28 ÷ (3/10 × 60/100)|total = 28 ÷ 40/100|B|3/10 are on the morning shift, leaving 7/10 of the total. 60% of that remainder are on the evening shift, so the 28 left over make up 40% of the remainder — that's 7/10 × 40/100 of everyone: total = 28 ÷ (7/10 × 40/100).|
9|In an orchard, 1/6 of the trees are apple trees. 50% of the rest are pear trees. The remaining 100 trees are cherry trees. How many trees are planted in the orchard in total?|total = 100 ÷ 5/6|total = 100 ÷ (5/6 × 50/100)|total = 100 ÷ (1/6 × 50/100)|total = 100 ÷ 50/100|B|1/6 are apple trees, leaving 5/6 of the total. 50% of that remainder are pear trees, so the 100 left over make up 50% of the remainder — that's 5/6 × 50/100 of everyone: total = 100 ÷ (5/6 × 50/100).|
10|At a sports club, 4/9 of the members play badminton. 30% of the rest play table tennis. The remaining 70 members play neither sport. How many members does the club have in total?|total = 70 ÷ 5/9|total = 70 ÷ (5/9 × 70/100)|total = 70 ÷ (4/9 × 30/100)|total = 70 ÷ 70/100|B|4/9 play badminton, leaving 5/9 of the total. 30% of that remainder play table tennis, so the 70 left over make up 70% of the remainder — that's 5/9 × 70/100 of everyone: total = 70 ÷ (5/9 × 70/100).|
