Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
1|A shirt costs £40 in a shop. A matching bag costs 25% more than the shirt. Buying both together gives a 10% discount on the combined price. How much will it cost to buy both?|(40 + (40 × 75/100)) × 90/100|40 × 125/100 × 90/100|(40 + (40 × 125/100)) × 90/100|(40 + (40 × 125/100)) × 10/100|C|The bag costs 25% more than the shirt, so it costs 40 × 125/100; add that to the shirt's own price, then the 10% discount leaves 90% of the combined total: (40 + (40 × 125/100)) × 90/100.|
2|At a department store, a jacket is priced at £70, while a matching scarf costs 30% less. Buying the pair together earns a 15% discount off the total price. What is the total amount you pay for both?|70 × 70/100 × 85/100|(70 + (70 × 70/100)) × 85/100|(70 + (70 × 130/100)) × 85/100|(70 + (70 × 70/100)) × 15/100|B|The scarf costs 30% less than the jacket, so it costs 70 × 70/100; add that to the jacket's own price, then the 15% discount leaves 85% of the combined total: (70 + (70 × 70/100)) × 85/100.|
3|Liam wants to buy a sofa priced at £520 and a matching armchair that costs 3/10 more than the sofa. The shop offers a 1/5 discount off the combined price when bought together. How much will Liam pay for both items?|(520 + (520 × 13/10)) × 1/5|520 × 13/10 × 4/5|(520 + (520 × 7/10)) × 4/5|(520 + (520 × 13/10)) × 4/5|D|The armchair costs 3/10 more than the sofa, so it costs 520 × 13/10; add that to the sofa's own price, then the 1/5 discount leaves 4/5 of the combined total: (520 + (520 × 13/10)) × 4/5.|
4|A laptop is on sale for £600. A branded charger normally costs 15% less than the laptop. Buying both together as a bundle gives a 12% discount on the pair. How much does the bundle cost in total?|(600 + (600 × 85/100)) × 88/100|(600 + (600 × 115/100)) × 88/100|600 × 85/100 × 88/100|(600 + (600 × 85/100)) × 12/100|A|The charger costs 15% less than the laptop, so it costs 600 × 85/100; add that to the laptop's own price, then the 12% discount leaves 88% of the combined total: (600 + (600 × 85/100)) × 88/100.|
5|A bike costs £180, and a matching helmet costs 45% more than the bike. Buying both together gives an 8% discount on the combined price. How much will the bike and helmet cost together?|180 × 145/100 × 92/100|(180 + (180 × 145/100)) × 92/100|(180 + (180 × 55/100)) × 92/100|(180 + (180 × 145/100)) × 8/100|B|The helmet costs 45% more than the bike, so it costs 180 × 145/100; add that to the bike's own price, then the 8% discount leaves 92% of the combined total: (180 + (180 × 145/100)) × 92/100.|
6|At a jewellery counter, a watch is priced at £90, while a spare strap costs 1/5 less. Buying the pair together earns a 1/10 discount off the total price. What is the total amount you pay for both?|(90 + (90 × 4/5)) × 9/10|(90 + (90 × 6/5)) × 9/10|90 × 4/5 × 9/10|(90 + (90 × 4/5)) × 1/10|A|The strap costs 1/5 less than the watch, so it costs 90 × 4/5; add that to the watch's own price, then the 1/10 discount leaves 9/10 of the combined total: (90 + (90 × 4/5)) × 9/10.|
7|Zoe wants to buy a violin priced at £150 and a matching case that costs 60% more than the violin. The shop offers an 18% discount off the combined price when bought together. How much will Zoe pay for both items?|(150 + (150 × 160/100)) × 18/100|(150 + (150 × 40/100)) × 82/100|150 × 160/100 × 82/100|(150 + (150 × 160/100)) × 82/100|D|The case costs 60% more than the violin, so it costs 150 × 160/100; add that to the violin's own price, then the 18% discount leaves 82% of the combined total: (150 + (150 × 160/100)) × 82/100.|
8|A table is on sale for £260. A matching chair normally costs 3/4 less than the table. Buying both together as a bundle gives a 1/8 discount on the pair. How much does the bundle cost in total?|260 × 1/4 × 7/8|(260 + (260 × 1/4)) × 1/8|(260 + (260 × 1/4)) × 7/8|(260 + (260 × 7/4)) × 7/8|C|The chair costs 3/4 less than the table, so it costs 260 × 1/4; add that to the table's own price, then the 1/8 discount leaves 7/8 of the combined total: (260 + (260 × 1/4)) × 7/8.|
9|A desk costs £220, and a matching lamp costs 20% more than the desk. Buying both together gives a 10% discount on the combined price. How much money is saved thanks to the discount?|(220 + (220 × 120/100)) × 90/100|(220 + (220 × 120/100)) × 10/100|220 × 120/100 × 10/100|(220 + (220 × 80/100)) × 10/100|B|First find the full combined price before any discount: 220 + (220 × 120/100); the 10% discount then saves 10% of that combined price: (220 + (220 × 120/100)) × 10/100.|
10|A fridge is priced at £500, while a matching freezer costs 30% less. Buying the pair together earns a 15% discount off the total price. How much money do you save by getting the discount?|(500 + (500 × 70/100)) × 15/100|(500 + (500 × 70/100)) × 85/100|(500 + (500 × 130/100)) × 15/100|500 × 70/100 × 15/100|A|First find the full combined price before any discount: 500 + (500 × 70/100); the 15% discount then saves 15% of that combined price: (500 + (500 × 70/100)) × 15/100.|
11|Priya wants to buy a necklace priced at £80 and a matching bracelet that costs 1/4 more than the necklace. Buying both together with a 1/5 discount off the combined price — how much does Priya save compared to paying full price?|80 × 5/4 × 1/5|(80 + (80 × 5/4)) × 4/5|(80 + (80 × 5/4)) × 1/5|(80 + (80 × 3/4)) × 1/5|C|First find the full combined price before any discount: 80 + (80 × 5/4); the 1/5 discount then saves 1/5 of that combined price: (80 + (80 × 5/4)) × 1/5.|
12|A tablet is on sale for £240. A matching keyboard normally costs 35% more than the tablet. Buying both together as a bundle gives a 12% discount on the pair. How much is saved by buying the bundle instead of paying full price for both?|(240 + (240 × 135/100)) × 88/100|(240 + (240 × 65/100)) × 12/100|240 × 135/100 × 12/100|(240 + (240 × 135/100)) × 12/100|D|First find the full combined price before any discount: 240 + (240 × 135/100); the 12% discount then saves 12% of that combined price: (240 + (240 × 135/100)) × 12/100.|
13|A ring costs £150, and a matching chain costs 40% less than the ring. Buying both together gives a 25% discount on the combined price. How much money is saved thanks to the discount?|(150 + (150 × 60/100)) × 25/100|(150 + (150 × 60/100)) × 75/100|(150 + (150 × 140/100)) × 25/100|150 × 60/100 × 25/100|A|First find the full combined price before any discount: 150 + (150 × 60/100); the 25% discount then saves 25% of that combined price: (150 + (150 × 60/100)) × 25/100.|
14|A backpack is priced at £90, while a matching water bottle costs 1/9 more. Buying the pair together earns a 1/6 discount off the total price. How much money do you save by getting the discount?|90 × 10/9 × 1/6|(90 + (90 × 10/9)) × 1/6|(90 + (90 × 8/9)) × 1/6|(90 + (90 × 10/9)) × 5/6|B|First find the full combined price before any discount: 90 + (90 × 10/9); the 1/6 discount then saves 1/6 of that combined price: (90 + (90 × 10/9)) × 1/6.|
15|A mattress costs £400, and a matching pillow costs 90% less than the mattress. Buying both together gives a 5% discount on the combined price. How much money is saved thanks to the discount?|(400 + (400 × 10/100)) × 5/100|(400 + (400 × 10/100)) × 95/100|(400 + (400 × 190/100)) × 5/100|400 × 10/100 × 5/100|A|First find the full combined price before any discount: 400 + (400 × 10/100); the 5% discount then saves 5% of that combined price: (400 + (400 × 10/100)) × 5/100.|
16|An umbrella is priced at £45, while a matching raincoat costs 2/3 more. Buying the pair together earns a 1/9 discount off the total price. How much money do you save by getting the discount?|(45 + (45 × 1/3)) × 1/9|(45 + (45 × 5/3)) × 1/9|(45 + (45 × 5/3)) × 8/9|45 × 5/3 × 1/9|B|First find the full combined price before any discount: 45 + (45 × 5/3); the 1/9 discount then saves 1/9 of that combined price: (45 + (45 × 5/3)) × 1/9.|
17|A café sells coffee for £2.50 each, and a pastry costs 40% more than a coffee. Amy buys 3 coffees and 2 pastries, and the café gives her a 10% discount on the whole order. How much does Amy pay?|2.5 × (3 + 2) × 90/100|(2.5 × 3 + 2.5 × 2 × 140/100) × 90/100|(2.5 × 3 + 2.5 × 2 × 60/100) × 90/100|(2.5 × 3 + 2.5 × 2 × 140/100) + (2.5 × 3 + 2.5 × 2 × 140/100) × 10/100|B|The pastry costs 40% more than the coffee, so 2 of them cost 2.5 × 2 × 140/100; add the 3 coffees at £2.5 each, then the 10% discount leaves 90% of the whole order: (2.5 × 3 + 2.5 × 2 × 140/100) × 90/100.|
18|A cinema ticket costs £11, and popcorn costs 1/4 less than a ticket. The Chen family buys 5 tickets and 3 popcorns, with a 20% discount on the total. How much does the family pay?|(11 × 5 + 11 × 3 × 5/4) × 4/5|11 × (5 + 3 × 3/4) × 4/5|(11 × 5 + 11 × 3 × 3/4) × 4/5|(11 × 5 + 11 × 3 × 3/4) + (11 × 5 + 11 × 3 × 3/4) × 1/5|C|Popcorn costs 1/4 less than a ticket, so 3 of them cost 11 × 3 × 3/4; add the 5 tickets at £11 each, then the 1/5 discount leaves 4/5 of the whole order: (11 × 5 + 11 × 3 × 3/4) × 4/5.|
19|A bakery sells muffins for £2 each, and a cake slice costs 55% more than a muffin. For an event, someone orders 10 muffins and 6 cake slices, with a 15% discount for the big order. How much does the order cost?|2 × (10 + 6) × 85/100|(2 × 10 + 2 × 6 × 155/100) + (2 × 10 + 2 × 6 × 155/100) × 15/100|(2 × 10 + 2 × 6 × 45/100) × 85/100|(2 × 10 + 2 × 6 × 155/100) × 85/100|D|The cake slice costs 55% more than the muffin, so 6 of them cost 2 × 6 × 155/100; add the 10 muffins at £2 each, then the 15% discount leaves 85% of the whole order: (2 × 10 + 2 × 6 × 155/100) × 85/100.|
20|A pen costs £1.20, and a marker costs 2/5 more than a pen. A school orders 20 pens and 12 markers, with a 1/8 bulk discount on the total. How much does the school pay?|(1.2 × 20 + 1.2 × 12 × 7/5) × 7/8|(1.2 × 20 + 1.2 × 12 × 3/5) × 7/8|1.2 × (20 + 12) × 7/8|(1.2 × 20 + 1.2 × 12 × 7/5) + (1.2 × 20 + 1.2 × 12 × 7/5) × 1/8|A|The marker costs 2/5 more than the pen, so 12 of them cost 1.2 × 12 × 7/5; add the 20 pens at £1.2 each, then the 1/8 discount leaves 7/8 of the whole order: (1.2 × 20 + 1.2 × 12 × 7/5) × 7/8.|
