Question Num|Question|Option-A|Option-B|Option-C|Option-D|Option-E|Answer|Explanation|
37|To the great disappointment of her fans, the local celebrity had been extremely **reticent** when it came to discussing her latest concert.|careless|pleasant|unreliable|open|polite|D|"Reticent" means quiet and holding back information, so its opposite is "open" (frank and willing to share).|
38|Grey, rainy weather always made him feel **lethargic**.|tired|forgetful|animated|lazy|assertive|C|"Lethargic" means feeling sleepy and lacking energy, so its opposite is "animated" (lively and full of energy).|
39|The scientist gave the junior assistant a **perfunctory** nod when he entered the room, then immediately went back to his experiment.|timid|hesitant|confident|careless|meaningful|E|"Perfunctory" means carried out with minimal effort or interest, so its opposite is "meaningful" (showing true feeling or care).|
40|The **poignant** speech had an impact on everyone in the audience.|ground-breaking|unnecessary|unemotional|long-winded|tedious|C|"Poignant" means touching or stirring deep emotions, so its opposite is "unemotional".|
11|Although he is quite intelligent, my friend finds it funny to make **inane** remarks in class.|ridiculous|complimentary|sensible|confident|righteous|C|"Inane" means silly or lacking sense, so its opposite is "sensible" (wise and making good sense).|
12|The lawyer advised his client to **refute** all the accusations against him.|accept|explain|celebrate|dispute|guilt|A|"Refute" means to prove or argue that something is false, so its opposite is "accept".|
13|His grandmother had always reserved that particular tone of **derision** for when she talked about her selfish sister.|contempt|animation|mockery|praise|humour|D|"Derision" means making fun of or showing disrespect to someone, so its opposite is "praise".|
14|Much to our annoyance, it turned out that our results from the online personality quiz were completely **arbitrary**.|expected|important|different|enlightening|reasoned|E|"Arbitrary" means chosen at random without a clear reason, so its opposite is "reasoned" (thought out carefully with good logic).|
15|Although his music taste nowadays is very **eclectic**, when he was younger, he would only listen to jazz.|varied|emotional|boring|specific|extensive|D|"Eclectic" means including a wide variety of styles, so its opposite is "specific" (focused on just one particular type).|
16|I couldn’t explain why, but I’ve always had an odd **aversion** to bananas.|acceptance|comfort|fear|impulse|attraction|E|"Aversion" means a strong dislike of something, so its opposite is "attraction" (a strong liking for something).|
17|After his insulting remarks, many people chose to **rescind** their support for the local politician.|fund|reduce|rethink|offer|widen|D|"Rescind" means to take back or cancel, so its opposite is "offer" (to give or present).|
18|The final candidate was **woefully** underqualified for the job.|not at all|delightfully|exceptionally|really|calmly|B|"Woefully" means terribly or sadly, so its opposite is "delightfully" (wonderfully or happily).|
19|The seeds were **dispersed** all over the huge garden.|scattered|inserted|concentrated|implanted|dumped|C|"Dispersed" means spread far apart over an area, so its opposite is "concentrated" (gathered together in one spot).|
20|The whole kingdom celebrated the queen’s **accession** to the throne.|neglect of|incompatibility with|renouncement of|acceptance of|hostility towards|C|"Accession" means formally taking on a high position or throne, so its opposite is "renouncement of" (giving up or abandoning that position).|
16|I don’t believe that you’re being completely **frank** with me.|ridiculous|dishonest|intelligent|introverted|virtuous|B|"Frank" means open, honest, and direct, so its opposite is "dishonest".|
17|There was an **imperceptible** pause, then he began to speak.|a short|an inaudible|an obvious|an extreme|a telling|C|"Imperceptible" means so tiny that you can hardly notice it, so its opposite is "an obvious" (easy to see or notice).|
18|After the setback, they all lost some of their **motivation**.|scepticism|apathy|mockery|drive|content|B|"Motivation" means the drive and eagerness to do something, so its opposite is "apathy" (a total lack of interest or desire).|
19|We need to be careful because the situation is very **volatile**.|stable|inviting|unanticipated|auspicious|frustrating|A|"Volatile" means likely to change or erupt suddenly, so its opposite is "stable" (steady and safe).|
20|The leader of their group resigned, **ostensibly** due to ill health.|allegedly|definitely|mainly|possibly|not|B|"Ostensibly" means seemingly or allegedly (appearing true on the surface), so its opposite is "definitely" (certainly and genuinely true).|
41|The meal wasn’t anything special, but it was **satisfactory** enough.|complacent|undercooked|tremendous|undernourished|inadequate|E|"Satisfactory" means good enough to meet a need, so its opposite is "inadequate" (not good enough).|
42|Anne was feeling particularly **faint-hearted** about her upcoming surgery.|courageous|excited|nervous|motivated|discouraged|A|"Faint-hearted" means feeling fearful and timid, so its opposite is "courageous" (brave and confident).|
43|He eagerly awaited the **commencement** of his new job contract.|initiation|duration|termination|difficulty|brevity|C|"Commencement" means the beginning or start of something, so its opposite is "termination" (the end).|
44|It would be completely **imprudent** to jump into the water; it’s too dangerous.|inadvisable|prudish|safe|foolish|wise|E|"Imprudent" means unwise and rash, so its opposite is "wise".|
45|They discovered that all of the money in the suitcase was **counterfeited**.|illegitimate|genuine|artificial|numerous|consistent|B|"Counterfeited" means made as a fake copy, so its opposite is "genuine" (real and authentic).|
21|Many people argue that experimenting on animals is **immoral**.|unequal|ethical|coherent|absurd|appropriate|B|"Immoral" means wrong and against good values, so its opposite is "ethical" (doing what is right).|
22|Rinky was clearly a bright student, but his teachers did not like his **abrupt** questions which interrupted the class.|discourteous|polite|sufficient|effective|unusual|B|"Abrupt" means sudden and blunt in a rude way, so its opposite is "polite".|
23|Laura’s reasons for disliking her older sister were **manifold**.|singular|complex|inarticulate|unfair|TRUE|A|"Manifold" means many and varied, so its opposite is "singular" (single or only one).|
24|The family was in **turmoil** after their beloved pet cat and dog died within a week of each other.|confusion|war|frustration|chaos|peace|E|"Turmoil" means a state of wild confusion and trouble, so its opposite is "peace".|
25|Despite his legacy today, Vincent Van Gogh lived in relative **obscurity** during his own lifetime.|pleasure|kindness|fame|discomfort|tension|C|"Obscurity" means being unknown to the public, so its opposite is "fame" (being known by many people).|
26|Andy won the debating competition as he wrote the most **persuasive** speech.|naïve|uninteresting|shocking|unconvincing|flattering|D|"Persuasive" means able to convince people, so its opposite is "unconvincing".|
27|Edwina worked on her art project **meticulously**, right up until the deadline.|tirelessly|calmly|stubbornly|thoughtfully|sloppily|E|"Meticulously" means doing something with extreme care and detail, so its opposite is "sloppily" (doing it messily and carelessly).|
28|After spending all summer sleeping, eating and playing video games inside, Darren’s bedroom was **squalid**.|spotless|dry|filthy|gigantic|dark|A|"Squalid" means extremely dirty and messy, so its opposite is "spotless" (completely clean).|
29|Emil usually liked to dress in **flamboyant** and unconventional clothing.|extreme|ordinary|comfortable|ugly|affordable|B|"Flamboyant" means bright, bold, and eye-catching, so its opposite is "ordinary" (plain and simple).|
30|Mrs. Butteridge was a fearsome and **commanding** headmistress, to say the least.|disliked|controlling|unimportant|selfless|unobtrusive|E|"Commanding" means standing out and demanding attention or respect, so its opposite is "unobtrusive" (quiet and not drawing attention).|
45|The **acrid** stench of the train’s coal-engine smoke filled the air.|warm|cool|foul|sweet|bitter|D|"Acrid" means a harsh, sharp, and unpleasant smell, so its opposite is "sweet".|
46|Stephen **criticised** the play in very strong terms, citing, in particular, its poor acting.|enjoyed|abandoned|directed|praised|discussed|D|"Criticised" means pointed out faults and disapproved, so its opposite is "praised" (expressed approval and admiration).|
47|The mathematical proof was organised in a **logical** format.|approachable|unusual|complicated|nonsensical|unfortunate|D|"Logical" means making clear sense according to rules, so its opposite is "nonsensical" (making no sense at all).|
48|Keith liked to wear **antiquated** clothes, even if they did not fit him properly.|frumpy|old|bold|tight-fitting|modern|E|"Antiquated" means old-fashioned and out of date, so its opposite is "modern".|
49|**Combine** the eggs and milk with the flour and sugar, then mix thoroughly.|spread|remove|pour|stir|separate|E|"Combine" means to mix or join things together, so its opposite is "separate" (to take apart).|
50|In **layman’s** terms, Dr. Coates has solved a problem which has perplexed physicists for centuries.|specialist’s|student’s|everyman’s|physicist’s|people’s|A|"Layman's" refers to simple language for an ordinary person, so its opposite is "specialist's" (expert terms).|
51|The **immaterial** apparition seemed to fade into nothing as quickly as it had appeared.|physical|ghostly|ordinary|fearful|meaningful|A|"Immaterial" means having no physical body or substance, so its opposite is "physical".|
52|The access to some rare books in the library is **restricted**; you need a special pass to handle them.|harsh|secret|constrained|permanent|open|E|"Restricted" means limited to only certain people, so its opposite is "open" (available for anyone to access).|
53|Our schools worked on a **collaborative** project, which aimed to reduce food waste, for a year.|individual|easy|public|famous|advanced|A|"Collaborative" means done by working together in a team, so its opposite is "individual" (done alone by one person).|
54|Over the course of 1100 years, The Venetian empire **thrived** in the Mediterranean.|flourished|struggled|grew|stabilised|defeated|B|"Thrived" means did extremely well and grew strong, so its opposite is "struggled".|
55|The **vengeful** master looked far and wide for the runaway slave.|thoughtful|forgiving|ruthless|benevolent|possessive|B|"Vengeful" means wanting to hurt someone back for a past wrong, so its opposite is "forgiving".|
