Question Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|Feedback-A|Feedback-B|Feedback-C|Feedback-D|
54|The lake's surface remained remarkably **placid** even as storm clouds gathered overhead.|turbulent|composed|glossy|deep|B|"Placid" means calm and undisturbed, so it matches "composed".|Violently disturbed, chaotic|Calm and in control of emotions|Smooth and shiny|Extending far down|
55|The steep cliff face looked **intimidating** to the novice climbers.|puzzling|towering|slippery|frightening|D|"Intimidating" describes something that makes you feel scared, like "frightening".|Difficult to understand|Extremely tall or impressive|Smooth and hard to grip|Causing fear|
56|Marcus was **overjoyed** when his painting won first prize at the fair.|rapturous|relieved|calm|surprised|A|"Overjoyed" means extremely happy, so it matches "rapturous".|Full of intense joy or delight|No longer feeling worried, at ease|Free from strong emotion|Feeling astonished by something unexpected|
57|When the last bus left early, Priya was **forced** to walk home in the rain.|requested|prevented|obliged|permitted|C|If you are "forced" to do something, you have no choice — you are "obliged" to do it.|Politely asked for something|Stopped from happening|Required to do something, with no choice|Allowed to do something|
58|The interns worked **diligently** to finish the report before the deadline.|quietly|assiduously|slowly|casually|B|"Diligently" means working hard and carefully, which is what "assiduously" means.|Without making noise|With great care and effort|Not quickly|In a relaxed, informal way|
16|We were **flabbergasted** when the shy student won the singing competition.|stupefied|delighted|embarrassed|unmoved|A|"Flabbergasted" means extremely surprised, so it matches "stupefied".|Astonished almost to the point of shock|Feeling great pleasure|Feeling awkward or ashamed|Not affected emotionally|
17|"Why must you always **contradict** everything the teacher says?" Ravi asked.|repeat|ignore|support|counter|D|To "contradict" means to say the opposite of what someone said, which is to "counter" it.|To say something again|To pay no attention to something|To agree with or back up|To argue against, oppose|
18|The scent of jasmine had **permeated** every room in the old house.|escaped|faded|pervaded|gathered|C|"Permeated" means spread all through something, which is what "pervaded" means.|Got free from a place|Gradually lost strength|Spread through every part of something|Collected together|
19|Cassette tapes have now become almost entirely **obsolete**.|valuable|outmoded|rare|popular|B|"Obsolete" means old and no longer used, so it matches "outmoded".|Worth a lot|No longer useful or fashionable|Not common, hard to find|Liked by many people|
20|Sailing solo across the Atlantic involves a great deal of **risk**.|skill|expense|secrecy|peril|D|"Risk" means being in danger, which is what "peril" means.|The ability to do something well|The cost of something|The state of being kept hidden|Serious danger|
21|After the storm passed, the streets were littered with **refuse**.|debris|notices|decorations|ash|A|"Refuse" means rubbish, or things thrown away, like "debris".|Scattered fragments of rubbish|Written announcements or warnings|Things used to make something look attractive|The powdery residue left after burning|
22|I recommend you take your mentor's **advice** seriously.|schedule|warning|counsel|favour|C|"Advice" means helpful suggestions, which is the same as "counsel".|A planned list of events or times|A statement telling of possible danger|Helpful guidance or suggestions|An act of kindness|
23|Don't **discount** her concerns just because she is young.|purchase|dismiss|publish|repeat|B|To "discount" an idea means to ignore it, or "dismiss" it.|To buy something|To decide something is not worth considering|To make information available publicly|To say or do something again|
24|Leo **intends** to complete his novel by the end of the year.|aspires|refuses|forgets|delays|A|To "intend" to do something means to plan, or "aspire", to do it.|Plans or hopes to achieve something|Declines to do something|Fails to remember|Puts off until later|
25|The twins were secretly **plotting** a surprise party for their mother.|painting|arguing|complaining|conspiring|D|"Plotting" means making secret plans, which is the same as "conspiring".|Applying paint to a surface|Disagreeing with someone|Expressing dissatisfaction|Making secret plans, often with others|
26|It's wise to buy medicine only from **reputable** pharmacies.|expensive|nearby|trustworthy|modern|C|"Reputable" means well-trusted, so it matches "trustworthy".|Costing a lot of money|Close in distance|Deserving of trust and confidence|Relating to the present time|
27|Everyone tried to **extract** themselves from the tense meeting as quickly as possible.|excuse|separate|hide|argue|B|To "extract" yourself from something means to get away, or "separate" from it.|A reason given to justify a fault|To move apart or away from something|To put oneself out of sight|To give reasons for or against something|
28|Nolan was often quite **patronising** toward his younger cousins.|condescending|generous|playful|anxious|A|"Patronising" means acting like you are better than someone else, or being "condescending".|Acting as though you are superior|Willing to give freely|Full of fun and high spirits|Feeling worried or nervous|
29|The two neighbouring families were on **intimate** terms for decades.|formal|distant|cautious|familiar|D|"Intimate" means very close and friendly, like being "familiar" with someone.|Following official rules and conventions|Not friendly or emotionally close|Careful to avoid risk|Closely acquainted, well known|
30|Maya was **attracted** by the idea of studying abroad next year.|frightened|confused|interested|bored|C|Being "attracted" to an idea means you like it and are "interested" in it.|Feeling fear|Feeling puzzled|Having your curiosity or attention caught|Feeling weary from lack of interest|
31|The two witnesses neither **confirmed** nor denied seeing the accident.|predicted|admitted|questioned|forgotten|B|To "confirm" means to say something is true, so not confirming means they had not "admitted" it.|Said what would happen before it did|Accepted or confessed something as true|Asked about something, or expressed doubt|No longer remembered|
