Question_Num|Question|Option-A|Option-B|Option-C|Option-D|Answer|Explanation|
1|1/4 + 1/6 = ?|5/12|1/5|7/12|1/10|A|Fraction+Fraction: LCD of 4 and 6 is 12. 1/4 = 3/12, 1/6 = 2/12. 3/12 + 2/12 = 5/12.|
2|2/5 + 1/3 = ?|3/8|11/15|13/15|1/2|B|Fraction+Fraction: LCD of 5 and 3 is 15. 2/5 = 6/15, 1/3 = 5/15. 6/15 + 5/15 = 11/15.|
3|3/8 + 1/4 = ?|1/3|1/2|5/8|7/8|C|Fraction+Fraction: LCD of 8 and 4 is 8. 1/4 = 2/8. 3/8 + 2/8 = 5/8.|
4|1/2 + 2/7 = ?|1/3|9/14|3/14|11/14|D|Fraction+Fraction: LCD of 2 and 7 is 14. 1/2 = 7/14, 2/7 = 4/14. 7/14 + 4/14 = 11/14.|
5|5/6 + 1/4 = ?|1 1/12|3/5|11/12|7/12|A|Fraction+Fraction: LCD of 6 and 4 is 12. 5/6 = 10/12, 1/4 = 3/12. 10/12 + 3/12 = 13/12 = 1 1/12.|
6|2/3 + 3/5 = ?|5/8|1 4/15|1 2/15|1 1/15|B|Fraction+Fraction: LCD of 3 and 5 is 15. 2/3 = 10/15, 3/5 = 9/15. 10/15 + 9/15 = 19/15 = 1 4/15.|
7|3/10 + 2/5 = ?|1/3|1/2|7/10|9/10|C|Fraction+Fraction: LCD of 10 and 5 is 10. 2/5 = 4/10. 3/10 + 4/10 = 7/10.|
8|1/6 + 5/9 = ?|2/5|11/18|7/9|13/18|D|Fraction+Fraction: LCD of 6 and 9 is 18. 1/6 = 3/18, 5/9 = 10/18. 3/18 + 10/18 = 13/18.|
9|7/12 + 1/4 = ?|5/6|1/2|2/3|3/4|A|Fraction+Fraction: LCD of 12 and 4 is 12. 1/4 = 3/12. 7/12 + 3/12 = 10/12 = 5/6.|
10|3/4 + 5/8 = ?|2/3|1 3/8|1 1/8|1 1/2|B|Fraction+Fraction: LCD of 4 and 8 is 8. 3/4 = 6/8. 6/8 + 5/8 = 11/8 = 1 3/8.|
11|3/4 - 1/6 = ?|2/3|11/12|7/12|5/12|C|Fraction-Fraction: LCD of 4 and 6 is 12. 3/4 = 9/12, 1/6 = 2/12. 9/12 - 2/12 = 7/12.|
12|5/6 - 2/3 = ?|1 1/2|1/3|1/2|1/6|D|Fraction-Fraction: LCD of 6 and 3 is 6. 2/3 = 4/6. 5/6 - 4/6 = 1/6.|
13|7/8 - 1/4 = ?|5/8|1 1/8|3/4|3/8|A|Fraction-Fraction: LCD of 8 and 4 is 8. 1/4 = 2/8. 7/8 - 2/8 = 5/8.|
14|5/9 - 1/3 = ?|8/9|2/9|4/9|1/3|B|Fraction-Fraction: LCD of 9 and 3 is 9. 1/3 = 3/9. 5/9 - 3/9 = 2/9.|
15|2/3 - 1/2 = ?|1 1/6|1/3|1/6|1/2|C|Fraction-Fraction: LCD of 3 and 2 is 6. 2/3 = 4/6, 1/2 = 3/6. 4/6 - 3/6 = 1/6.|
16|5/6 - 3/4 = ?|1 7/12|1/6|5/12|1/12|D|Fraction-Fraction: LCD of 6 and 4 is 12. 5/6 = 10/12, 3/4 = 9/12. 10/12 - 9/12 = 1/12.|
17|7/10 - 2/5 = ?|3/10|1 1/10|1/2|1/5|A|Fraction-Fraction: LCD of 10 and 5 is 10. 2/5 = 4/10. 7/10 - 4/10 = 3/10.|
18|5/8 - 1/3 = ?|23/24|7/24|1/6|1/4|B|Fraction-Fraction: LCD of 8 and 3 is 24. 5/8 = 15/24, 1/3 = 8/24. 15/24 - 8/24 = 7/24.|
19|11/12 - 1/4 = ?|1 1/6|5/6|2/3|3/4|C|Fraction-Fraction: LCD of 12 and 4 is 12. 1/4 = 3/12. 11/12 - 3/12 = 8/12 = 2/3.|
20|4/5 - 3/10 = ?|1 1/10|1/10|7/10|1/2|D|Fraction-Fraction: LCD of 5 and 10 is 10. 4/5 = 8/10. 8/10 - 3/10 = 5/10 = 1/2.|
21|2/5 x 2/3 = ?|4/15|1 1/15|3/5|1/2|A|Fraction x Fraction: multiply numerators and denominators: (2x2)/(5x3) = 4/15.|
22|3/4 x 2/9 = ?|35/36|1/6|5/13|2/3|B|Fraction x Fraction: (3x2)/(4x9) = 6/36, which simplifies to 1/6.|
23|5/6 x 3/10 = ?|1 4/15|1/2|1/4|2/5|C|Fraction x Fraction: (5x3)/(6x10) = 15/60 = 1/4 in simplest form.|
24|7/9 x 3/14 = ?|125/126|10/23|3/7|1/6|D|Fraction x Fraction: cancel first. 7 and 14 share a factor of 7: 7/9 x 3/14 = 1/9 x 3/2 = 3/18 = 1/6.|
